Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,8,0,0,1,0,0,0,0,0,0,0,0,9
Authority,20,11,0,8,5,0,0,0,0,0,0,0,44
IG,1,2,0,3,0,0,0,0,0,0,0,0,6
OGC,1,1,1,3,2,0,0,1,0,0,0,0,9
ATRO,2,7,0,0,0,0,0,0,0,0,0,0,9
BORO,0,2,0,0,0,0,0,0,0,0,0,0,2
CHRO,0,0,0,1,0,0,0,0,0,0,0,0,1
DARO,0,2,0,0,0,0,0,0,0,0,0,0,2
DERO,0,0,0,0,0,0,0,0,0,0,0,0,0
SFRO,0,0,3,0,0,0,0,0,0,0,0,0,3
WARO,0,1,0,0,0,0,0,0,0,0,0,0,1
Total,32,26,4,16,7,0,0,1,0,0,0,0,86
