Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BPA,28,21,0,6,2,5,0,0,0,0,0,0,62
CBFO,2,3,0,3,1,2,0,0,0,0,0,0,11
CH,21,5,0,6,1,14,0,0,0,0,0,0,47
EMCBC,7,3,1,3,3,4,3,0,3,0,0,1,28
GFO,7,16,9,2,1,7,1,0,0,0,0,0,43
HQ,139,111,10,72,198,55,0,0,0,0,4,0,589
ID,27,3,1,4,1,3,0,0,1,0,0,0,40
NETL,8,21,0,7,0,6,5,0,3,0,0,0,50
NNSA/AL,153,60,11,53,7,10,1,1,1,11,13,0,321
NR,4,0,0,2,1,0,0,0,0,0,0,0,7
ORO,237,17,0,23,17,5,0,1,5,15,3,0,323
OSTI,3,1,0,2,0,0,0,0,0,0,0,0,6
PNSO,6,0,0,2,0,2,0,0,0,0,0,0,10
RL,47,19,11,10,4,5,2,0,0,0,0,0,98
SEPA,1,0,0,1,0,0,0,0,0,0,0,0,2
SPR,7,1,0,0,0,0,0,0,0,0,0,0,8
SROO,18,8,1,7,7,4,1,0,0,1,0,0,47
SWPA,4,0,0,1,0,2,0,0,0,0,0,0,7
WAPA,5,6,0,3,0,1,0,0,0,0,0,0,15
Total,724,295,44,207,243,125,13,2,13,27,20,1,1714
