Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
AFRC,1,4,2,0,0,1,1,0,1,0,13,0,23
ARC,2,18,0,3,0,2,2,2,3,1,5,3,41
GRC,1,1,0,1,0,0,0,1,0,0,11,1,16
GSFC,29,14,5,10,1,4,5,5,3,0,20,1,97
HQ,38,20,16,26,12,3,11,63,22,4,6,10,231
JPL,4,1,2,0,0,3,0,10,5,3,27,1,56
JSC,38,11,2,9,2,4,15,9,12,5,16,3,126
KSC,15,14,9,4,1,5,10,9,15,4,27,4,117
LaRC,4,3,0,0,1,3,3,1,2,0,19,2,38
MSFC,15,13,7,9,0,2,13,1,0,0,12,0,72
NSSC,2,3,1,3,0,1,1,7,0,0,9,0,27
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0
OIG,0,42,1,2,0,0,0,0,4,0,12,0,61
SSC,2,3,0,1,0,0,1,1,3,0,6,1,18
Total,151,147,45,68,17,28,62,109,70,17,183,26,923
