Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
AMS,17,60,2,16,4,8,6,1,1,1,0,0,116
APHIS,175,473,36,160,39,51,9,25,2,0,12,0,982
ASCR,12,17,8,16,9,0,1,0,0,4,0,0,67
DM,58,13,0,2,4,1,0,1,0,1,0,0,80
FAS,23,6,0,5,1,1,6,2,0,1,0,0,45
FNCS,59,101,6,45,16,6,0,1,3,0,2,0,239
FS,1298,524,55,258,41,65,13,4,69,5,36,17,2385
FSA,15243,400,205,450,400,50,98,26,10,13,28,25,16948
FSIS,59,144,8,58,0,70,1,1,2,10,15,7,375
GIPSA,9,8,13,14,0,0,0,0,0,0,0,5,49
NAD,2,0,0,0,0,0,0,1,0,5,0,0,8
NRCS,130,69,73,15,9,1,1,0,0,0,0,0,298
OBPA,6,1,0,8,0,1,0,0,0,0,0,0,16
OCFO,10,3,1,14,1,7,0,0,0,1,0,0,37
OGC,5,5,4,8,1,2,0,0,0,0,0,3,28
OIG,15,38,17,34,3,3,2,0,3,1,0,20,136
OSEC/OCIO,14,15,0,10,0,5,1,3,1,3,0,0,52
RD,475,139,23,54,38,33,3,1,11,3,5,0,785
REE,103,29,1,8,22,3,1,4,0,3,0,2,176
RMA,35,30,25,19,5,0,1,0,2,0,0,0,117
Total,17748,2075,477,1194,593,307,143,70,104,51,98,79,22939
