Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,1099,282,68,202,38,165,11,8,8,7,27,4,1919
Region 1,147,8,1,74,10,13,0,0,0,0,0,0,253
Region 2,410,7,1,997,32,47,5,68,1,0,9,1,1578
Region 3,427,26,0,829,36,121,0,0,0,0,7,0,1446
Region 4,405,60,5,253,21,53,11,10,0,1,9,0,828
Region 5,659,58,4,822,1,37,4,7,2,1,10,0,1605
Region 6,247,39,4,211,46,32,1,0,1,1,3,1,586
Region 7,354,18,6,123,1,23,1,0,0,0,2,0,528
Region 8,197,13,1,75,0,75,2,0,0,0,3,0,366
Region 9,232,42,8,152,33,24,3,8,3,2,8,1,516
Region 10,268,54,2,70,0,47,1,2,1,0,1,0,446
Total,4445,607,100,3808,218,637,39,103,16,12,79,7,10071
