Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FAA,3675,1141,62,1018,11,284,173,5,54,11,0,0,6434
FHWA,179,45,12,85,19,3,6,5,2,16,31,13,416
FMCSA,506,959,0,144,0,115,5,5,3,4,44,0,1785
FRA,156,61,2,85,7,12,0,1,0,0,8,0,332
FTA,105,91,2,66,0,6,0,0,0,0,0,1,271
MARAD,69,22,0,28,0,7,1,0,6,0,3,0,136
NHTSA,92,37,7,52,0,13,21,1,9,1,2,8,243
OIG,9,42,12,12,0,7,0,0,4,7,1,13,107
OST,78,84,2,73,0,12,0,0,1,3,4,70,327
PHMSA,89,16,3,17,2,7,8,0,2,1,6,0,151
RITA,16,3,0,6,0,0,0,0,1,0,0,0,26
SLSDC,0,4,0,3,0,0,0,0,0,0,0,0,7
Total,4974,2505,102,1589,39,466,214,17,82,43,99,105,10235
