Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ATLANTA,1,1098,45,10,1,15,1,0,18,2,42,96,1329
BIRMINGHAM,16,784,200,7,0,21,0,4,5,9,41,28,1115
CHARLOTTE,10,946,30,3,8,4,2,1,3,1,10,28,1046
CHICAGO,55,487,91,16,5,17,1,1,17,2,6,32,730
DALLAS,46,1358,143,10,0,16,0,0,1,0,32,47,1653
HOUSTON,13,638,77,5,0,2,2,1,8,0,29,16,791
INDIANAPOLIS,30,1426,124,56,33,9,0,1,13,7,36,43,1778
LOS ANGELES,17,497,322,244,0,0,1,0,0,0,2,37,1120
MEMPHIS,21,613,91,3,0,1,0,2,4,1,5,9,750
MIAMI,166,1169,196,55,10,9,0,1,177,0,40,126,1949
NEW YORK,20,412,147,42,0,4,0,2,58,0,42,88,815
OLC/HDQ,87,40,164,57,25,17,7,10,21,1,29,1,459
PHILADELPHIA,4,872,182,2,55,27,1,6,28,1,63,130,1371
PHOENIX,17,325,96,2,28,0,0,1,14,0,61,6,550
SAN FRANCISCO,36,302,125,214,0,2,0,1,19,0,14,55,768
ST. LOUIS,14,853,7,0,0,0,0,0,0,0,5,7,886
WFO,0,120,41,2,15,0,0,0,3,0,15,8,204
Total,553,11940,2081,728,180,144,15,31,389,24,472,757,17314
