Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BPA,61,19,2,29,0,11,1,0,1,0,1,0,125
CBFO,4,0,0,1,1,0,0,0,0,0,0,0,6
CH,21,7,2,9,2,4,6,0,2,11,1,0,65
EMCBC,11,11,0,5,3,3,1,1,3,0,0,0,38
GFO,74,81,2,16,2,3,52,2,1,9,0,0,242
HQ,142,227,12,118,341,61,5,6,4,6,9,0,931
ID,14,6,1,10,0,1,0,0,0,0,0,0,32
NETL,12,37,0,15,0,3,0,0,0,3,1,0,71
NNSA,119,57,3,58,6,16,2,1,2,6,2,0,272
NR,0,0,0,0,0,0,0,0,0,0,0,0,0
NRLFO,3,3,0,3,0,1,2,1,0,1,0,0,14
ORO,153,21,0,27,2,5,1,3,4,5,2,0,223
OSTI,4,1,0,0,0,0,0,0,0,0,0,0,5
ROO,29,19,4,7,3,11,1,1,1,1,1,0,78
SEPA,3,1,0,1,0,0,0,0,0,0,0,0,5
SPR,7,5,0,0,0,0,0,0,0,2,0,0,14
SRO,41,5,1,7,1,2,0,0,0,5,0,0,62
SWPA,2,0,0,0,0,1,0,0,0,0,0,0,3
WAPA,14,15,0,1,0,3,2,0,1,0,0,0,36
Total,714,515,27,307,361,125,73,15,19,49,17,0,2222
