Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,9,0,0,0,0,0,0,0,0,0,0,0,9
Authority,19,5,0,10,0,0,0,0,0,0,0,0,34
IG,1,0,0,0,0,0,0,0,0,0,0,0,1
OGC,0,1,0,2,4,0,0,0,0,0,0,0,7
ATRO,3,0,1,0,1,1,0,0,0,0,0,1,7
BORO,6,2,0,0,0,0,0,0,0,0,0,1,9
CHRO,3,0,0,0,0,0,0,0,0,0,0,1,4
DARO,0,0,0,0,0,0,0,0,0,0,0,1,1
DERO,0,0,0,1,0,0,0,0,0,0,0,1,2
SFRO,0,0,0,0,0,0,0,0,0,0,0,1,1
WARO,2,0,0,0,0,0,0,0,0,0,0,0,2
Total,43,8,1,13,5,1,0,0,0,0,0,6,77
