Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,8,0,0,0,0,0,0,0,0,0,0,0,8
Authority,14,8,0,8,0,0,0,2,0,0,0,0,32
IG,1,0,0,1,1,0,0,0,0,0,0,0,3
OGC,0,0,0,0,1,0,0,0,0,0,0,0,1
ATRO,1,1,0,1,1,0,0,0,0,0,0,0,4
BORO,1,2,0,0,0,1,0,0,0,0,0,0,4
CHRO,1,0,0,2,0,0,0,0,0,0,0,0,3
DARO,2,0,0,0,0,1,0,0,0,0,0,0,3
DERO,0,0,0,0,0,0,0,0,0,0,0,0,0
SFRO,0,1,0,0,0,0,0,0,0,0,0,1,2
WARO,4,0,0,0,0,0,0,0,0,0,0,0,4
Total,32,12,0,12,3,2,0,2,0,0,0,1,64
