Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
AF,2377,1777,285,1023,279,587,212,121,139,72,423,604,7899
AFRICOM,0,1,0,0,0,0,0,0,0,0,0,0,1
ARMY,15542,8347,813,4310,4027,987,459,282,1564,383,608,359,37681
ASBCA,1,0,0,1,0,0,0,0,0,0,0,0,2
CENTCOM,19,102,10,59,51,8,0,0,4,9,10,37,309
DCAA,16,18,8,28,18,4,0,4,1,12,2,0,111
DCMA,43,32,4,18,3,7,8,1,28,8,2,46,200
DeCA,207,6,2,12,0,31,0,0,0,2,0,0,260
DFAS,110,52,7,6,14,8,1,2,4,3,2,6,215
DIA,37,319,51,307,16,32,0,1,11,43,13,108,938
DISA,173,106,20,67,130,40,70,1,1,0,4,27,639
DLA,6028,229,26,69,113,87,63,10,16,7,33,88,6769
DoDEA,17,25,3,3,1,4,1,0,0,3,0,1,58
DoDIG,24,132,58,47,14,11,1,15,14,27,8,1,352
DSS,12,10,1,15,1,0,0,0,0,1,0,0,40
DTIC,52,1,1,16,10,1,0,0,0,0,0,15,96
DTRA,22,82,6,23,6,6,1,5,1,5,4,8,169
EUCOM,9,18,9,25,7,4,0,0,0,3,0,0,75
JFCOM,9,16,0,18,29,16,0,2,2,4,0,11,107
NAVY,4231,3896,413,1067,1773,376,244,408,229,484,317,972,14410
NGA,43,28,25,22,2,52,2,25,0,4,4,111,318
NGB,7,6,1,13,3,3,2,5,0,1,6,0,47
NORTHCOM,13,20,5,6,2,0,0,0,0,9,0,0,55
NRO,68,68,6,49,10,2,16,1,32,41,2,7,302
NSA,49,251,353,126,1,67,32,6,36,18,47,79,1065
OSD/JS,246,366,78,214,73,155,31,71,56,15,50,544,1899
PACOM,14,22,12,12,15,5,1,1,0,4,0,5,91
SOCOM,21,24,10,21,34,14,3,1,0,8,6,26,168
SOUTHCOM,27,75,32,31,9,3,0,2,0,3,2,5,189
STRATCOM,16,22,4,20,0,3,0,2,1,0,1,17,86
TRANSCOM,40,61,10,16,6,2,1,0,0,10,0,18,164
TRICARE,18,21,7,13,0,1,8,0,0,5,2,0,75
Total,29491,16133,2260,7657,6647,2516,1156,966,2139,1184,1546,3095,74790
