Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
ACF,51,95,0,0,0,0,0,0,0,0,0,0,146
AOA,2,5,0,6,0,0,0,0,0,0,0,1,14
CMS,33669,63,1624,3088,515,807,106,94,711,0,3,580,41260
OIG,21,9,7,25,25,8,1,0,7,3,2,1,109
OPHS,132,48,12,38,19,61,0,3,7,0,8,0,328
AHRQ,38,4,2,8,5,3,0,1,0,2,0,0,63
CDC,304,181,37,382,42,48,20,4,10,9,11,309,1357
FDA,11373,91,79,825,21,6583,125,16,179,7,378,671,20348
HRSA,272,11,0,1,6,7,0,0,4,1,1,0,303
IHS,3,38,6,2,0,2,1,0,0,1,0,11,64
NIH,738,57,17,129,24,141,37,11,0,8,2,0,1164
SAMHSA,15,82,0,6,0,2,0,0,0,0,2,0,107
OS,202,92,40,227,692,35,2,4,16,5,5,0,1320
Total,46820,776,1824,4737,1349,7697,292,133,934,36,412,1573,66583
