Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,870,201,54,170,3,174,32,13,13,13,113,0,1656
Region 1,123,28,0,68,0,13,0,0,0,0,7,0,239
Region 2,473,10,0,836,1,39,4,78,15,3,62,0,1521
Region 3,734,10,2,222,0,39,12,0,0,0,11,0,1030
Region 4,345,81,2,308,2,70,25,4,0,4,34,0,875
Region 5,678,65,3,502,0,61,4,7,2,1,23,0,1346
Region 6,279,30,2,194,1,39,4,0,2,12,18,0,581
Region 7,344,19,1,124,1,39,1,1,5,0,9,0,544
Region 8,187,21,2,70,2,30,3,4,2,0,21,0,342
Region 9,264,46,3,220,1,22,18,6,1,1,7,0,589
Region 10,251,41,0,58,2,40,8,1,2,0,5,0,408
Total,4548,552,69,2772,13,566,111,114,42,34,310,0,9131
