Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,8,1,0,4,0,0,0,0,0,0,1,0,14
Authority,16,6,1,30,2,1,0,1,1,0,2,0,60
IG,1,1,0,2,0,0,0,0,0,0,0,0,4
OGC,1,1,0,1,0,0,0,0,0,0,1,0,4
ATRO,1,4,0,0,0,1,0,0,0,0,0,0,6
BORO,1,1,0,0,0,0,0,0,0,0,0,0,2
CHRO,0,1,1,0,0,0,0,0,0,0,0,0,2
DARO,2,0,0,1,0,0,0,0,0,0,0,0,3
DERO,0,1,0,0,0,0,0,0,0,0,0,0,1
SFRO,2,4,0,0,0,0,0,0,0,0,0,0,6
WARO,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,32,20,2,38,2,2,0,1,1,0,4,0,102
