Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FAA,2867,1418,105,1192,21,491,124,12,41,23,0,0,6294
FHWA,227,51,5,83,2,11,4,0,0,0,3,45,431
FMCSA,219,530,12,96,0,58,8,8,1,13,29,0,974
FRA,163,64,2,80,0,40,1,0,0,0,1,0,351
FTA,82,76,11,47,0,1,0,0,0,0,1,1,219
MARAD,35,11,0,16,0,5,0,0,1,0,1,10,79
NHTSA,120,52,20,30,1,9,19,3,4,8,0,10,276
OIG,18,60,13,32,1,4,0,0,1,1,4,5,139
OST,95,66,8,60,0,28,3,0,0,4,0,70,334
PHMSA,59,19,3,20,1,18,8,0,0,0,0,4,132
RITA,21,6,4,8,0,2,0,0,0,0,0,7,48
SLSDC,3,1,0,1,0,0,0,0,0,0,0,0,5
Total,3909,2354,183,1665,26,667,167,23,48,49,39,152,9282
