Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ATLANTA,10,442,38,10,2,8,0,1,0,1,26,114,652
BIRMINGHAM,16,1001,231,3,3,5,0,7,12,3,26,31,1338
CHARLOTTE,6,1084,34,7,5,7,0,0,15,10,15,16,1199
CHICAGO,50,567,112,3,0,1,0,0,12,10,12,48,815
DALLAS,114,1390,184,87,2,22,0,1,7,0,6,73,1886
HOUSTON,50,863,68,61,1,10,1,36,0,14,2,24,1130
INDIANAPOLIS,68,1821,162,46,39,5,0,56,14,35,84,91,2421
LOS ANGELES,44,321,277,239,1,1,0,0,3,2,28,17,933
MEMPHIS,33,601,72,6,0,0,0,2,0,0,29,8,751
MIAMI,130,984,439,27,7,11,0,10,9,1,77,457,2152
NEW YORK,36,348,99,0,0,9,0,36,35,31,50,10,654
OLC/HDQ,78,46,102,56,17,0,2,8,92,2,4,4,411
PHILADELPHIA,11,835,82,8,40,15,0,22,5,27,23,82,1150
PHOENIX,8,429,249,1,12,0,0,13,35,10,1,1,759
SAN FRANCISCO,43,438,114,77,0,0,0,0,30,1,28,25,756
ST. LOUIS,99,809,155,6,0,16,0,0,0,8,15,12,1120
WFO,0,100,31,5,17,0,0,0,0,6,7,4,170
Total,796,12079,2449,642,146,110,3,192,269,161,433,1017,18297
