Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
HQ,119,151,7,129,11,192,13,6,43,14,55,241,981
OIG,9,45,18,18,9,8,0,0,3,7,3,8,128
R01,46,7,0,11,1,9,0,0,0,1,2,3,80
R02,46,11,1,21,0,6,1,4,1,0,1,3,95
R03,38,33,5,26,2,8,0,3,13,1,2,6,137
R04,67,50,10,40,2,15,1,1,9,2,3,3,203
R05,46,20,1,12,0,9,4,0,0,1,1,1,95
R06,40,15,1,27,2,2,1,0,2,0,2,4,96
R07,2,4,2,7,1,3,3,0,5,0,0,4,31
R08,41,14,1,12,0,6,2,0,1,0,2,6,85
R09,59,55,19,26,0,22,1,1,1,5,8,7,204
R0X,12,23,2,3,0,0,3,0,1,0,0,1,45
Total,525,428,67,332,28,280,29,15,79,31,79,287,2180
