Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ADJ BDS,17,2,0,4,1,2,0,0,0,1,0,0,27
ALJ,126,10,4,9,3,1,0,0,0,4,4,1,162
ASP,0,2,0,1,0,1,4,0,0,0,0,0,8
BLS,8,9,3,9,2,1,0,0,0,0,0,0,32
CFO,7,0,0,4,0,0,0,0,0,0,0,1,12
EBSA,1802,54,62,65,10,32,2,29,33,6,13,2,2110
ESA,898,921,234,644,66,60,29,9,55,47,117,16,3096
ETA,292,112,20,176,14,9,18,13,18,14,36,224,946
ILAB,5,1,0,5,0,0,1,0,0,0,0,3,15
JOB CORP,3,1,2,0,1,1,0,0,0,0,0,0,8
MSHA,741,568,63,101,1,60,24,3,6,4,20,0,1591
OASAM,47,75,3,34,28,26,6,6,10,8,0,0,243
OCIA,7,0,0,0,0,0,0,0,0,0,0,0,7
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0
OIG,14,18,9,9,2,2,0,1,0,0,1,0,56
OPA,0,0,0,7,0,0,0,0,0,0,0,0,7
OSBP,7,0,2,0,0,0,0,0,0,0,0,0,9
OSHA,687,5912,1640,2839,919,154,46,122,22,36,132,0,12509
SOL,1,3,1,1,0,0,0,0,0,0,0,0,6
VETS,39,58,5,2,2,0,0,0,0,0,1,0,107
WB,5,4,0,4,1,0,0,4,0,0,1,0,19
Total,4706,7750,2048,3914,1050,349,130,187,144,120,325,247,20970
