Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,6,0,0,9,0,0,0,0,0,0,0,0,15
Authority,20,8,0,6,5,1,0,0,0,0,0,7,47
IG,2,0,1,0,0,0,0,0,0,0,0,0,3
OGC,0,0,0,0,2,0,0,0,0,0,0,0,2
ATRO,3,0,0,0,0,0,0,0,0,0,0,0,3
BORO,2,4,1,0,0,0,0,0,0,0,0,0,7
CHRO,1,0,0,0,0,0,0,0,0,0,0,0,1
DARO,1,0,0,0,0,0,0,0,0,0,0,0,1
DERO,1,1,0,0,0,0,0,0,0,0,0,0,2
SFRO,3,0,2,0,2,0,0,0,0,0,0,0,7
WARO,1,0,0,0,0,0,0,0,0,0,0,0,1
Total,40,13,4,15,9,1,0,0,0,0,0,7,89
