Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ACF,1055,146,6,50,128,114,6,0,0,8,25,0,1538
AOA,11,12,0,4,0,0,0,0,0,0,0,0,27
CMS,24742,731,6661,4899,51,371,1176,111,961,50,260,11652,51665
OIG,129,114,30,60,19,23,13,16,71,62,10,22,569
AHRQ,12,23,2,12,4,4,0,1,1,0,2,0,61
CDC,408,248,32,356,68,136,33,15,14,4,43,15,1372
FDA,7281,130,98,655,19,828,241,7,69,5,189,357,9879
HRSA,278,40,5,16,23,5,0,0,0,2,0,0,369
IHS,13,12,1,10,15,6,0,0,14,0,2,21,94
NIH,813,114,18,141,14,112,23,20,6,20,1,0,1282
SAMHSA,13,120,0,4,6,0,0,0,0,0,0,0,143
OS,79,129,30,39,1628,31,1,15,67,64,8,215,2306
OPHS/PSC,229,124,10,42,41,78,0,16,1,0,1,13,555
Total,35063,1943,6893,6288,2016,1708,1493,201,1204,215,541,12295,69860
