Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ARC,15,13,4,7,0,7,4,5,3,1,3,0,62
DFRC,4,4,0,1,0,0,0,0,0,0,2,0,11
GRC,9,6,1,4,0,2,3,0,1,1,3,0,30
GSFC,27,50,3,9,2,4,9,5,4,0,6,0,119
HQ,71,30,5,40,14,5,9,16,29,20,14,0,253
JPL,5,6,1,0,0,3,2,1,0,4,1,0,23
JSC,32,24,3,14,5,12,15,11,13,5,13,0,147
KSC,11,7,5,11,3,1,11,9,7,2,6,0,73
LaRC,5,7,0,3,0,7,1,4,6,1,5,0,39
MSFC,21,26,3,6,0,4,14,2,2,1,2,0,81
NSSC,4,4,1,0,0,0,0,1,0,0,0,0,10
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0
OIG,4,12,4,3,0,0,0,0,0,0,4,0,27
SSC,1,2,0,1,0,1,0,1,1,0,1,0,8
Total,209,191,30,99,24,46,68,55,66,35,60,0,883
