Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FSA,162,51,4,27,2,22,12,16,35,6,10,0,347
IES,4,27,1,1,1,0,2,0,0,1,0,0,37
IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0
OCFO,4,0,0,2,0,0,0,0,0,1,0,0,7
OCFO-CAM,23,36,0,8,0,2,1,0,0,0,0,0,70
OCFO-FSS,4,1,0,1,0,0,0,0,0,0,0,0,6
OCIO,1,2,0,1,0,0,0,0,0,0,0,0,4
OCO,1,0,1,2,0,0,0,0,0,0,0,0,4
OCR,14,41,1,5,0,6,2,0,4,2,3,0,78
OCR-Atlanta,23,31,16,2,0,5,2,1,2,0,1,0,83
OCR-Boston,32,89,3,3,0,3,0,0,0,0,0,0,130
OCR-Chicago,58,16,3,2,0,6,0,0,0,0,1,0,86
OCR-Cleveland,12,6,2,1,0,6,0,1,0,0,0,0,28
OCR-Dallas,32,55,5,3,0,6,0,0,0,3,0,0,104
OCR-Denver,12,30,4,3,0,2,0,0,2,0,0,0,53
OCR-Kansas City,20,5,5,1,0,4,0,0,1,0,0,0,36
OCR-Metro,28,36,1,4,0,4,0,0,0,0,0,0,73
OCR-New York,82,36,7,4,0,8,3,0,3,2,6,0,151
OCR-Philadelphia,14,39,5,1,0,5,0,0,0,0,3,0,67
OCR-San Francisco,11,30,1,4,0,1,0,0,0,0,0,0,47
OCR-Seattle,19,47,0,4,2,1,0,1,0,0,0,0,74
OELA,1,9,2,0,0,0,0,0,0,0,0,0,12
OESE,15,60,0,3,0,4,1,0,0,2,0,0,85
OGC,5,6,0,1,0,2,2,0,1,1,0,0,18
OIG,1,12,6,4,0,2,1,0,0,0,0,0,26
OII,6,20,0,1,2,6,0,0,0,0,0,0,35
OLCA,3,1,0,2,0,0,0,0,0,0,0,0,6
OM,15,9,1,2,2,0,1,0,1,2,0,0,33
OM-RIMS,45,41,0,27,5,7,29,12,68,21,0,0,255
OPE,24,40,2,10,0,5,2,0,2,0,0,0,85
OPEPD,8,14,1,5,0,2,0,0,0,0,0,0,30
OS,7,1,0,4,0,2,0,0,0,0,1,0,15
OSDFS,7,37,1,4,3,22,4,0,0,0,0,0,78
OSERS,21,28,0,5,0,4,0,0,0,0,0,0,58
OUS,3,0,0,1,0,0,0,0,0,0,0,0,4
OVAE,3,3,0,1,0,0,0,0,0,0,0,0,7
Total,720,859,72,149,17,137,62,31,119,41,25,0,2232
