Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
Admin,2,5,0,0,0,0,1,1,0,0,2,0,11
BVA,13,2,8,1,0,1,0,0,0,0,0,0,25
C&LA,0,1,0,33,0,0,0,0,0,0,0,0,34
CFM,11,25,6,13,0,8,42,2,0,0,9,0,116
GC,14,41,4,19,0,0,2,1,0,0,6,0,87
HRM,11,2,0,6,0,1,0,0,0,0,0,0,20
IG,62,242,79,59,1,9,1,3,8,43,15,0,522
Mgmt,9,2,2,3,0,1,0,0,0,0,4,0,21
NCA,1,15,0,2,0,20,0,0,0,0,2,0,40
OAL,133,121,8,31,0,9,12,2,0,0,5,0,321
OASHRA,1,1,1,0,0,1,0,0,0,0,0,0,4
OASP&IA,2,0,0,1,0,0,0,0,0,0,0,0,3
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASIA,1,0,0,0,0,0,0,0,0,0,0,0,1
ODI,1,0,0,0,0,0,0,0,0,0,0,0,1
OIT,44,32,3,26,0,11,2,7,0,0,17,0,142
ORM,4,17,7,1,0,2,0,1,0,0,3,2,37
OSDBU,0,12,2,2,0,2,0,0,0,0,2,0,20
OSP,1,1,0,2,0,0,0,0,0,0,0,0,4
P&P,2,0,0,0,0,0,0,0,0,0,0,0,2
PA,1,3,0,7,0,0,0,0,0,0,0,0,11
SEC,20,39,9,27,0,1,0,0,0,0,1,0,97
VBA,448,2029,44,61,0,2,1,33,0,0,32,0,2650
VHA,12790,7098,4923,1046,0,161,82,29,0,0,105,33,26267
Total,13571,9688,5096,1340,1,229,143,79,8,43,203,35,30436
