Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSA,170,61,2,54,2,16,2,2,2,11,6,0,328
IES,4,28,0,4,0,0,0,0,0,0,2,0,38
IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0
M,25,55,0,27,2,21,0,1,1,3,1,2,138
OCFO,7,1,0,1,0,0,0,0,0,0,0,0,9
OCFO-CAM,36,36,0,4,0,4,0,0,0,0,0,0,80
OCIO,2,1,0,0,0,0,0,0,0,0,0,0,3
OCO,2,1,0,3,0,0,0,0,0,0,0,0,6
OCR,19,64,2,6,0,3,0,0,1,2,4,0,101
OCR-1 Boston,11,119,8,5,0,3,0,0,0,1,6,0,153
OCR-2 New York,55,77,9,5,0,7,0,0,5,0,4,0,162
OCR-3 Philadelphia,10,63,2,3,0,0,0,0,0,0,4,0,82
OCR-4 Atlanta,17,36,7,3,0,2,0,0,0,0,1,0,66
OCR-5 Chicago,76,41,1,6,0,9,0,1,1,0,0,0,135
OCR-6 Dallas,30,34,11,1,0,2,0,3,0,0,0,0,81
OCR-7 Kansas City,4,13,6,0,1,0,0,0,0,0,0,0,24
OCR-8 Denver,5,21,16,4,0,1,0,1,1,0,1,2,52
OCR-9 San Francisco,26,38,5,3,2,1,0,0,0,0,0,0,75
OCR-10 Seattle,16,83,0,9,0,0,1,0,0,0,0,0,109
OCR-12 Cleveland,16,10,4,1,0,5,0,0,0,0,0,1,37
OCR-Metro D.C.,8,42,9,2,0,11,0,0,0,0,1,1,74
ODS,4,1,1,1,0,0,0,0,0,1,0,0,8
OELA,0,5,0,1,0,0,0,0,0,0,0,0,6
OESE,9,48,0,15,0,3,0,0,0,2,2,0,79
OGC,2,4,0,4,0,2,0,0,0,0,0,0,12
OIG,7,19,12,19,0,4,0,0,0,0,2,0,63
OII,11,25,0,5,1,1,0,0,0,0,0,0,43
OLCA,3,1,0,1,0,2,0,0,0,0,0,0,7
OM,11,26,1,6,0,2,0,0,1,0,3,0,50
OM-PIRMS,22,16,0,1,0,11,0,1,1,7,0,0,59
OPE,23,113,0,10,1,6,0,1,0,1,2,0,157
OPEPD,2,1,0,0,0,1,0,0,0,0,0,0,4
OS,13,21,0,0,0,5,0,0,0,0,1,0,40
OSDFS,1,6,0,0,0,0,1,0,0,0,0,0,8
OSERS,19,20,0,4,0,0,0,0,0,0,0,0,43
OUS,3,3,0,3,0,0,0,0,0,0,0,0,9
OVAE,3,1,0,0,0,0,0,0,0,1,0,0,5
Total,672,1134,96,211,9,122,4,10,13,29,40,6,2346
