Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,6,0,0,7,0,0,0,0,0,0,0,0,13
Authority,14,8,2,6,3,0,0,0,0,0,0,1,34
IG,1,1,0,0,1,0,0,0,0,0,0,0,3
OGC,0,0,0,3,4,0,0,0,0,0,0,0,7
ATRO,0,3,0,0,1,3,0,0,0,0,0,0,7
BORO,0,2,0,1,0,3,0,0,0,0,0,0,6
CHRO,1,3,0,6,0,3,0,0,0,0,0,0,13
DARO,0,1,0,2,1,3,0,0,0,0,0,0,7
DERO,0,1,0,0,1,3,0,0,0,0,0,0,5
SFRO,5,0,0,1,0,3,0,0,0,0,0,0,9
WARO,2,0,0,0,0,4,0,0,0,0,0,0,6
Total,29,19,2,26,11,22,0,0,0,0,0,1,110
