Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BPA,33,18,0,1,1,1,0,0,0,0,0,0,54
CBFO,2,3,0,2,0,2,0,0,0,0,0,0,9
CH,16,1,1,13,1,9,4,2,0,0,0,1,48
EMCBC,10,6,1,3,5,5,4,2,1,3,0,0,40
GFO,8,17,6,13,7,3,0,2,0,2,4,0,62
HQ,155,102,7,83,265,45,0,0,0,0,1,0,658
ID,22,4,1,8,2,3,1,0,0,0,0,0,41
NETL,29,13,5,10,3,0,0,0,0,0,0,1,61
NNSA/AL,146,58,5,62,10,19,3,2,6,4,5,0,320
NR,9,3,0,2,1,0,1,0,0,0,0,0,16
ORO,170,11,0,30,5,11,0,4,11,1,3,0,246
OSTI,2,0,0,1,2,0,0,1,0,0,0,0,6
PNSO,13,1,0,3,2,0,0,0,0,0,0,0,19
RL,30,18,0,10,2,7,3,1,0,0,0,0,71
SEPA,5,0,1,2,0,0,0,0,0,0,0,0,8
SPR,4,2,0,0,0,0,0,0,0,0,0,0,6
SROO,16,13,0,9,8,0,0,0,0,2,0,0,48
SWPA,4,3,0,0,0,0,0,0,0,0,0,0,7
WAPA,10,16,0,1,0,3,0,0,1,0,0,1,32
Total,684,289,27,253,314,108,16,14,19,12,13,3,1752
