Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIS,22,15,14,12,0,2,14,2,0,2,0,0,83
Census,46,37,24,58,45,15,29,0,12,0,0,32,298
EDA,28,12,0,3,0,6,1,0,2,0,0,0,52
ESA,2,0,0,5,0,0,3,0,0,3,0,0,13
ITA,38,7,1,5,9,6,17,0,0,2,0,1,86
MBDA,2,0,0,0,0,4,5,0,0,0,0,0,11
NIST,49,21,6,14,1,8,19,1,0,83,0,0,202
NOAA,420,75,14,30,4,21,23,11,2,1,13,6,620
NTIA,50,8,4,3,3,2,16,0,1,0,0,0,87
NTIS,1,0,1,1,0,0,0,0,0,1,0,4,8
OIG,3,18,9,4,0,24,0,6,5,0,0,4,73
OS,59,64,3,25,18,3,23,19,0,27,2,0,243
PTO,43,51,7,35,0,8,18,6,72,0,5,0,245
Total,763,308,83,195,80,99,168,45,94,119,20,47,2021
