Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,1412,259,45,206,7,116,2,2,1,1,14,15,2080
Region 1,168,13,2,62,2,9,0,1,0,0,0,22,279
Region 2,309,16,1,1861,0,58,0,32,0,0,12,240,2529
Region 3,229,14,2,1167,38,66,2,0,1,4,6,19,1548
Region 4,402,83,6,189,1,40,7,0,1,1,3,23,756
Region 5,672,65,3,878,0,72,2,3,3,1,5,8,1712
Region 6,224,12,2,254,14,51,1,2,2,1,3,18,584
Region 7,469,14,1,154,1,18,0,1,0,0,4,2,664
Region 8,245,10,2,87,0,47,1,0,1,0,6,0,399
Region 9,359,34,5,198,22,28,3,7,2,4,3,23,688
Region 10,223,18,3,125,0,26,1,0,0,0,0,0,396
Total,4712,538,72,5181,85,531,19,48,11,12,56,370,11635
