Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIA,495,249,18,91,3,31,24,29,9,5,20,30,1004
BLM,408,264,15,116,27,34,14,5,21,6,7,5,922
BOR,124,21,8,10,8,8,3,1,4,0,4,7,198
FWS,804,122,17,85,18,16,1,0,2,0,1,94,1160
MMS,134,33,3,21,2,8,0,2,4,4,4,3,218
NPS,559,163,26,37,6,13,10,13,1,2,7,22,859
OIG,3,33,8,6,0,28,0,0,0,1,0,0,79
OS,130,47,5,59,86,10,16,23,7,6,2,0,391
OSM,26,2,0,4,0,1,2,0,0,0,0,0,35
SOL,23,10,2,22,1,4,0,7,0,0,6,0,75
USGS,60,30,7,21,0,6,8,3,0,4,8,0,147
Total,2766,974,109,472,151,159,78,83,48,28,59,161,5088
