Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,151,148,14,111,368,208,29,11,46,5,48,0,1139
OIG,34,11,0,14,7,4,3,1,0,0,0,0,74
R01,34,11,0,6,5,4,3,1,1,1,0,0,66
R02,52,5,1,27,8,5,0,1,2,1,0,0,102
R03,42,22,6,25,18,0,0,1,8,0,1,0,123
R04,108,39,18,35,12,17,5,1,0,3,7,0,245
R05,42,18,1,37,9,1,0,0,0,1,0,0,109
R06,84,11,3,24,7,3,7,5,3,0,0,0,147
R07,7,8,0,7,6,1,4,2,1,0,0,0,36
R08,40,14,1,33,5,1,0,0,0,0,0,0,94
R09,74,28,6,23,14,28,1,5,3,1,6,0,189
R0X,20,31,1,17,1,2,2,1,1,0,0,0,76
Total,688,346,51,359,460,274,54,29,65,12,62,0,2400
