Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,1071,217,50,204,10,230,13,26,16,10,85,0,1932
Region 1,117,11,0,83,0,15,4,0,0,0,9,0,239
Region 2,674,10,2,1123,3,40,7,87,10,4,40,0,2000
Region 3,337,18,1,175,1,50,16,5,0,0,28,0,631
Region 4,335,76,3,346,1,70,8,2,0,0,23,0,864
Region 5,900,58,3,625,0,82,28,8,7,2,53,0,1766
Region 6,282,60,2,176,0,73,3,1,1,0,18,0,616
Region 7,373,22,0,117,1,56,0,1,0,0,16,0,586
Region 8,163,24,2,50,2,40,17,2,0,1,10,0,311
Region 9,267,30,3,325,3,50,1,7,2,2,20,0,710
Region 10,238,88,1,62,0,69,4,1,1,0,11,0,475
Total,4757,614,67,3286,21,775,101,140,37,19,313,0,10130
