Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
OSHS,0,0,0,0,0,0,0,0,0,0,0,0,0
OCTAE,0,2,0,1,1,0,0,0,0,0,0,0,4
FSA,63,65,15,25,8,9,0,0,1,0,9,3,198
IES,2,29,0,8,5,2,0,0,0,0,0,0,46
IES-NAGB,0,2,0,0,0,0,0,0,0,0,0,0,2
M,35,84,5,23,0,6,4,0,1,1,3,7,169
OCFO,0,1,1,2,0,0,0,0,0,0,0,0,4
OCFO-CAM,4,14,4,6,0,1,0,0,0,0,0,0,29
OCIO,6,7,0,1,0,1,0,0,0,0,0,0,15
OCO,0,0,0,1,0,1,0,0,0,0,0,0,2
OCR,27,61,6,5,1,7,0,2,0,1,8,1,119
OCR-1 Boston,11,66,24,2,0,3,0,0,0,1,1,0,108
OCR-2 New York,65,44,13,7,0,4,0,0,0,0,6,0,139
OCR-3 Philadelphia,17,50,8,8,0,1,0,0,2,0,4,2,92
OCR-4 Atlanta,3,7,23,0,0,6,0,0,0,0,1,0,40
OCR-5 Chicago,68,56,17,1,0,3,1,1,2,0,4,3,156
OCR-6 Dallas,28,54,18,5,0,0,1,3,0,0,2,0,111
OCR-7 Kansas City,2,4,6,2,0,2,0,0,0,0,0,0,16
OCR-8 Denver,2,14,16,2,0,1,0,0,2,0,3,1,41
OCR-9 San Francisco,8,36,19,2,0,1,0,0,0,0,2,0,68
OCR-10 Seattle,17,57,1,7,3,0,0,0,0,0,2,0,87
OCR-12 Cleveland,13,8,7,0,0,3,2,0,0,0,1,0,34
OCR-Metro D.C.,5,42,1,2,0,0,0,1,0,0,2,0,53
ODS,5,1,0,1,0,0,0,0,0,0,1,0,8
OESE,9,35,0,11,1,5,5,0,0,0,2,3,71
OGC,0,2,1,0,0,0,0,0,0,0,0,0,3
OIG,6,26,14,8,1,0,0,0,1,2,2,0,60
OII,6,10,0,4,7,2,2,0,0,0,2,1,34
OLCA,2,1,0,0,0,1,0,0,1,0,0,1,6
OM,6,17,0,10,0,3,0,0,0,1,0,2,39
OM-PIRMS,42,35,11,13,14,0,0,7,6,112,6,4,250
OPE,11,54,0,5,1,3,5,0,0,0,0,1,80
OPEPD,2,0,0,0,0,0,0,0,0,0,0,0,2
OS,3,4,0,4,0,0,0,0,0,0,0,0,11
OSERS,3,33,0,2,0,2,3,0,0,0,0,1,44
OUS,0,5,0,1,0,0,0,0,0,0,0,0,6
Total,471,926,210,169,42,67,23,14,16,118,61,30,2147
