Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
Admin,0,0,0,0,0,0,0,0,0,0,0,0,0
BVA,6,5,0,2,1,0,0,0,1,0,0,0,15
C&LA,1,1,0,0,0,0,0,0,0,0,0,0,2
CFM,17,12,0,11,8,1,10,4,2,0,1,0,66
GC,15,4,2,4,19,0,3,1,0,0,1,0,49
HRM,3,0,1,1,0,0,0,0,0,0,0,0,5
IG,78,118,17,18,22,1,2,1,26,18,2,0,303
Mgmt,2,0,3,1,0,1,0,0,0,0,0,0,7
NCA,98,47,15,81,5,2,2,0,2,0,0,0,252
OAL,90,33,7,11,90,30,1,0,1,3,10,77,353
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASB,2,0,0,0,0,1,0,0,0,0,0,0,3
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
OF,2,0,0,0,0,0,0,1,0,0,0,0,3
OI&T,58,9,2,53,14,10,2,16,17,7,6,0,194
ORM,4,1,1,0,0,0,0,0,0,0,0,0,6
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0
OSP,2,5,1,0,1,0,0,0,0,0,1,0,10
P&P,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC,2,0,0,0,0,0,0,0,0,0,0,0,2
VBA,4190,754,30,281,595,16,42,53,92,11,16,14,6094
VCS,0,0,0,0,0,0,0,0,0,0,0,0,0
VHA,19222,3581,7649,12821,835,9223,809,2709,5995,702,388,189,64123
Total,23792,4570,7728,13284,1590,9285,871,2785,6136,741,425,280,71487
