Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIA,707,321,32,135,1,41,25,14,14,22,30,68,1410
BLM,408,306,11,98,54,41,31,13,31,3,23,4,1023
BOEMRE,182,32,1,24,16,19,5,7,3,7,6,4,306
BOR,171,23,4,22,2,12,27,0,3,1,1,5,271
FWS,731,128,11,86,9,30,5,1,3,4,1,133,1142
NPS,542,170,45,49,5,12,21,3,4,8,15,21,895
OIG,8,54,12,12,0,88,0,0,0,1,0,0,175
OS,166,47,4,68,51,34,7,13,9,5,6,39,449
OSM,32,4,0,4,0,0,1,0,0,0,0,0,41
SOL,30,5,5,20,3,5,2,0,0,0,3,2,75
USGS,90,18,1,11,0,5,5,4,1,12,3,8,158
Total,3067,1108,126,529,141,287,129,55,68,63,88,284,5945
