Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FSA,82,117,1,786,36,66,2,537,0,0,0,0,
IES,142,176,6,499,38,57,2,201,0,0,0,0,
OCFO,2,2,1,3,59,59,59,59,0,0,0,0,
OCFO-CAM,198,226,14,519,88,115,13,331,0,0,0,0,
OCFO-FSS,182,182,182,182,0,0,0,0,0,0,0,0,
OCIO,28,39,20,81,26,26,12,39,0,0,0,0,
OCO,309,309,309,309,0,0,0,0,0,0,0,0,
OCR,98,117,17,445,39,54,3,234,0,0,0,0,
OCR-Atlanta,26,46,3,330,0,0,0,0,27,27,27,27,
OCR-Boston,11,18,1,109,43,45,3,89,14,14,14,14,
OCR-Chicago,20,18,2,55,22,18,4,24,0,0,0,0,
OCR-Cleveland,18,18,1,44,25,25,25,25,0,0,0,0,
OCR-Dallas,19,27,5,289,23,31,11,102,32,32,4,60,
OCR-Denver,15,19,1,85,51,59,6,139,0,0,0,0,
OCR-Kansas City,26,19,13,163,0,0,0,0,0,0,0,0,
OCR-Metro,16,26,1,157,19,15,5,21,0,0,0,0,
OCR-New York,36,69,2,311,24,35,1,111,4,4,4,4,
OCR-Philadelphia,57,78,2,264,25,25,25,25,13,13,3,23,
OCR-San Francisco,7,8,1,30,6,10,2,25,0,0,0,0,
OCR-Seattle,3,4,1,17,10,12,2,24,0,0,0,0,
OELA,318,310,73,505,141,184,89,392,0,0,0,0,
OESE,235,256,13,836,64,112,6,572,0,0,0,0,
OGC,474,476,60,897,837,837,771,902,0,0,0,0,
OIG,15,30,1,264,38,38,21,55,10,10,10,10,
OII,178,230,26,683,56,100,19,529,0,0,0,0,
OLCA,227,227,80,373,248,248,248,248,0,0,0,0,
OM,23,47,4,165,28,45,6,121,0,0,0,0,
OM-RIMS,105,164,1,824,106,160,14,858,0,0,0,0,
OPE,109,130,11,577,62,129,3,826,0,0,0,0,
OPEPD,0,0,0,0,0,0,0,0,0,0,0,0,
OS,465,465,119,810,299,299,87,510,0,0,0,0,
OSDFS,352,363,48,776,127,175,91,384,0,0,0,0,
OSERS,169,179,4,631,87,95,3,211,0,0,0,0,
OUS,0,0,0,0,0,0,0,0,0,0,0,0,
OVAE,80,120,2,432,95,95,95,95,0,0,0,0,
Total,39,108,1,897,44,80,1,902,12,18,3,60,
