Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9, 
CBP,4,1920,0,59,45,1831,47,6,1834,11,470,0,0,0,
CRCL,0,3,0,0,3,5,0,0,0,0,0,0,0,0,
FEMA,0,7,1,5,12,20,0,0,1,0,0,0,0,0,
FLETC,0,7,2,14,3,16,5,0,1,0,4,0,0,0,
I&A,1,9,0,3,0,7,3,0,2,0,4,1,0,0,
ICE,12,1132,13,100,319,998,88,7,1002,34,274,11,0,0,
MGMT,1,52,3,35,8,27,0,0,3,0,0,0,0,0,
NPPD,0,17,3,10,6,16,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,1,2,0,0,0,0,0,0,0,0,
OIG,2,111,7,6,25,137,16,0,144,8,19,1,0,0,
OPS,0,8,0,2,0,4,1,0,0,0,0,1,0,0,
PLCY,1,2,0,0,4,2,2,0,2,0,2,2,0,0,
PRIV,7,46,7,29,25,49,2,1,9,1,8,2,0,0,
S&T,1,4,2,8,17,3,0,0,1,0,3,0,0,0,
TSA,0,149,124,29,41,114,14,3,38,0,0,42,0,0,
US-VISIT,0,2022,0,4,1,1884,210,0,394,0,261,0,0,0,
USCG,4,9,8,26,85,415,243,0,143,1,11,0,0,0,
USCIS,104,37079,135,39,34123,33402,137,50,39936,87,34625,27,0,0,
USSS,1,189,2,2,27,152,4,0,218,20,119,1,0,0,
Total,138,42766,307,371,34745,39084,772,67,43728,162,35800,88,0,0, 
