Component,Description,No. of Times Used,Total
OIG,0,0,0
OS,Publicly Available Information,3,3
Census,Publicly Available Information,25,25
ITA,No Address Provided,1,1
NIST,Publicly Available Information,4,8
NIST,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",4,8
NOAA,Publicly Available Information,6,6
NTIS,Statute Based Price Authority,5,5
OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1
OIG,Records Publicly Available,1,9
OIG,Unable to locate requester,6,9
OIG,Administratively Closed,2,9
OIG,Not applicable,0,0
OS,Requester failed to provide requested clarified information,3,7
OS,Request administratively closed,4,7
ESA,Request reassigned,3,16
ESA,FOIAs already closed,7,16
ESA,Request for Supplemental Information,1,16
ESA,Requests - Information Available on the web,5,16
OIG,N/A,0,0
OIG,Records  on OIG Webpage,1,1
OS,N/A,0,0
OIG,N/A,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
Total,0,82,163
