Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BPA,0,2,2,0,
CBFO,0,0,0,0,
CH,0,0,0,0,
EMCBC,0,0,0,0,
GFO,0,0,0,0,
HQ,150,145,171,124,
ID,0,0,0,0,
NETL,0,0,0,0,
NNSA/AL,1,7,3,5,
NR,0,0,0,0,
ORO,2,0,2,0,
OSTI,0,0,0,0,
PNSO,0,0,0,0,
RL,0,0,0,0,
SEPA,0,0,0,0,
SPR,0,0,0,0,
SROO,0,1,1,0,
SWPA,0,0,0,0,
WAPA,0,0,0,0,
Total,153,155,179,129,
