Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
A&MM (049),126106,0,126106,0,0.0%,
Admin (03),0,0,0,0,0.0%,
BVA (01),52936,0,52936,0,0.0%,
OC&LA (009),0,0,0,0,0.0%,
OCFM (00CFM),45132,0,45132,2202.27,4.88%,
ODM&EEO (06),0,0,0,0,0.0%,
GC (02),80592.52,0,80592.52,0,0.0%,
OHRM (05),21173,0,21173,98,0.46%,
IG (50),244641,0,244641,0,0.0%,
NCA (40),215087,0,215087,770.54,0.36%,
OASHRA (006),0,0,0,0,0.0%,
OASP&IA (002),1750.66,0,1750.66,0,0.0%,
ODASB (041),0,0,0,0,0.0%,
ODASIA (075),1750.66,0,1750.66,0,0.0%,
OF (047),1795.16,0,1795.16,1510.5,84.14%,
OI&T (005),390657,0,390657,386.82,0.1%,
MGMT (004),28.4,0,28.4,0,0.0%,
ORM (08),11305,0,11305,0,0.0%,
OSDBU (00SB),0,0,0,0,0.0%,
P&P (008),75.7,0,75.7,0,0.0%,
PA (80),0,0,0,0,0.0%,
S&LE (07),4272.91,0,4272.91,0,0.0%,
SEC (00),14525.3,0,14525.3,0,0.0%,
VBA (20),2053577,0,2053577,4262.43,0.21%,
VCS (785),4964.16,0,4964.16,0,0.0%,
VHA (10),13429096,0,13429096,303776,2.26%,
Appeals,253904,0,253904,0,0.0%,
Total,16953369,0,16953369,313006,N/A,
