Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIS,9,11,1,31,46,46,19,73,14,14,14,14,
Census,16,16,1,97,0,0,0,0,14,14,4,24,
EDA,6,4,1,15,16,19,12,58,0,0,0,0,
ESA,7,17,1,35,0,0,0,0,0,0,0,0,
ITA,42,16,1,64,0,0,0,0,0,0,0,0,
MBDA,13,14,8,20,0,0,0,0,0,0,0,0,
NIST,33,22,1,466,0,0,0,0,0,0,0,0,
NOAA,9,10,1,20,57,55,21,684,8,10,5,22,
NTIA,22,18,5,35,0,0,0,0,0,0,0,0,
NTIS,11,10,5,14,0,0,0,0,2,1,1,3,
OIG,9,43,1,571,0,0,0,0,0,0,0,0,
OS,10,12,1,48,136,151,50,366,0,0,0,0,
PTO,9,11,1,318,0,0,0,0,20,20,20,20,
Total,10,13,1,571,69,109,12,684,9,7,1,24,
