Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ACF,182,93,1,366,185,103,1,343,12,8,2,36,
AOA,0,0,0,0,6,6,2,15,0,0,0,0,
CMS,19,26.6,1,378,188.3,348.6,1,244.8,137.9,239.3,1,807,
OIG,0,0,0,0,6,9.3,1,36,0,0,0,0,
OPHS,0,0,0,0,53,98,0,718,0,0,0,0,
AHRQ,0,10,1,35,0,15,11,35,0,10,10,10,
CDC,11,29.16,0,304,37,89.1,0,456,39,39,39,39,
FDA,208,286.1,1,1643,483,503.4,1,1951,173,309.5,2,1108,
HRSA,0,0,0,0,15,18,1,239,0,0,0,0,
IHS,16,20,12,24,44,36,42,66,14,20,3,28,
NIH,0,0,0,0,20,40,1,721,0,0,0,0,
SAMHSA,0,0,0,0,70,75,8,138,0,0,0,0,
OS,0,0,0,0,215,225,1,1395,0,0,0,0,
Total,16,60,1,1643,269,289,42,1395,78,120,1,1108,
