Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9, 
Office of the AG,5,6,4,0,26,21,1,0,14,2,1,3,0,0,
Office of the DAG,6,4,3,0,14,10,0,0,10,1,1,1,0,0,
Office of the Assoc. AG,0,2,0,0,2,2,0,0,0,0,0,0,0,0,
Antitrust,0,9,19,4,10,17,20,0,18,13,0,0,0,0,
ATF,0,247,143,54,67,156,69,0,276,9,25,239,0,0,
BOP,0,396,0,32,383,221,9,0,530,45,56,2,0,0,
Civil,0,4,0,1,26,16,2,0,4,2,0,0,0,0,
Civil Rights,0,0,1,0,36,3,18,0,116,2,1,0,0,0,
COPS,0,2,0,1,2,10,0,0,0,0,0,0,0,0,
Criminal,11,15,38,1,153,200,21,0,194,38,2,316,0,0,
CRS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
DEA,2,306,29,10,15,52,25,0,356,197,32,0,0,0,
ENRD,0,3,2,2,19,16,5,0,10,0,2,0,0,0,
EOIR,0,3,0,0,4,219,0,0,0,0,0,58,0,0,
EOUSA,2,170,258,4,429,621,56,0,1091,102,34,0,1,0,
EOUST,0,1,0,0,0,6,0,0,3,0,0,58,0,0,
FBI,631,1799,410,13,146,2326,192,45,2310,1491,558,0,0,0,
FCSC,0,0,0,0,11,10,0,0,0,0,0,0,0,0,
JMD,0,1,2,9,3,0,0,0,1,0,0,1,0,0,
NDIC,0,8,0,0,1,6,0,0,3,8,8,0,0,0,
NSD,29,4,1,0,6,11,0,0,10,1,1,0,0,0,
ODR,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
OFDT,0,0,0,1,1,6,0,0,0,0,0,0,0,0,
OIG,0,2,0,1,7,61,6,0,69,2,0,0,0,0,
OIP,0,1,0,0,9,6,0,0,1,0,0,0,0,0,
OJP,0,1,1,10,13,76,0,0,1,0,2,0,0,0,
OLA,1,3,3,0,8,15,0,0,3,1,0,0,0,0,
OLC,9,2,6,0,21,2,0,0,0,0,0,0,0,0,
OLP,0,2,3,0,9,47,0,0,0,0,0,0,0,0,
OPR,0,11,2,0,7,33,2,0,31,2,0,2,0,0,
OSG,0,0,0,0,33,0,0,0,0,0,0,0,0,0,
OVW,0,0,0,0,1,20,0,0,0,0,0,0,0,0,
Pardon Attorney,0,0,0,0,24,28,4,0,28,0,0,0,0,0,
Public Affairs,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
PRAO,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
TAX,0,2,7,0,8,9,1,0,3,0,4,0,0,0,
USMS,0,141,11,2,43,107,4,0,390,8,35,9,1,0,
USNCB,0,33,0,0,1,5,11,0,47,47,13,0,0,0,
USPC,0,0,0,0,1,19,1,0,19,2,0,2,0,0,
Total,696,3179,944,145,1542,4357,447,45,5538,1973,776,696,2,0, 
