Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
FAA,9,0,16,0,0,1,0,0,0,0,39,
FHWA,1,0,3,0,0,0,0,0,0,0,0,
FMCSA,0,0,1,0,0,0,0,0,0,0,0,
FRA,2,0,0,0,0,0,0,0,0,0,0,
FTA,1,0,1,0,0,0,0,0,0,0,1,
NHTSA,0,0,0,2,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,1,0,0,0,0,
OST,3,0,1,0,0,0,0,0,0,0,0,
PHMSA,0,0,0,0,0,0,0,0,0,0,2,
Total,16,0,22,2,0,1,1,0,0,0,42,
