Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
CBP,5478,0,13.48,683,118,151,0,0,0
CRCL,0,0,0,6,75,76.3,0,0,0
FEMA,154,151,232,493,237,283,4,811,837
FLETC,14,19.5,26.21,0,0,0,0,0,0
I&A,0,0,0,0,0,0,0,0,0
ICE,3,4,11.3,65,7,18.6,0,0,0
MGMT,0,0,0,4,12.5,18,0,0,0
NPPD,6,16,19.5,13,144,192.5,0,0,0
OGC,2,16.5,16.5,4,178,167,0,0,0
OIG,14,24,23.07,21,41,66.57,0,0,0
OPS,0,0,0,0,0,0,0,0,0
PLCY,3,22,30,6,207.5,229.17,0,0,0
PRIV,5,2,2,34,44.5,88.12,0,0,0
S&T,5,11,13,6,152,410,0,0,0
TSA,52,44,76.19,349,172,206.58,0,0,0
US-VISIT,2,84.5,84.5,1,138,138,0,0,0
USCG,559,73,121,484,713,833,1,21,21
USCIS,6113,92,128,64265,,299.53,8,69.5,125
USSS,0,,,0,,,0,,
Total,12410,38,78,66434,305,300,13,76,336
