Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FSA,Date of Receipt,2008-08-12,2008-07-03,2008-06-26,2008-06-03,2008-05-27,2008-04-24,2008-04-03,2008-03-24,2007-06-04,2007-02-06
FSA,Number of Days Pending,285,312,317,334,339,361,376,384,585,667
IES,Date of Receipt,,,,,,,,,,2008-08-06
IES,Number of Days Pending,,,,,,,,,,289
OCFO,Date of Receipt,,,,,,,,,,2009-04-28
OCFO,Number of Days Pending,,,,,,,,,,108
OCFO-CAM,Date of Receipt,2009-02-06,2009-01-23,2008-08-29,2008-05-08,2008-04-28,2008-03-17,2007-09-17,2007-01-31,2006-09-14,2006-09-14
OCFO-CAM,Number of Days Pending,164,174,272,351,359,389,512,671,764,764
OCFO-FSS,Date of Receipt,,,,,2009-07-01,2009-05-26,2009-05-13,2008-12-16,2008-10-28,2008-09-12
OCFO-FSS,Number of Days Pending,,,,,63,89,97,199,232,263
OCO,Date of Receipt,,,,,,,,2009-07-08,2009-04-09,2008-05-20
OCO,Number of Days Pending,,,,,,,,59,121,343
OCR,Date of Receipt,,,,,,,,,,2009-07-23
OCR,Number of Days Pending,,,,,,,,,,48
OCR-Atlanta,Date of Receipt,,2009-08-26,2009-08-21,2009-08-11,2009-06-25,2009-06-16,2009-05-08,2009-04-17,2009-04-17,2009-02-20
OCR-Atlanta,Number of Days Pending,,24,27,35,67,74,100,115,115,155
OCR-Boston,Date of Receipt,,,,,,,2009-08-27,2009-07-28,2009-06-26,2009-05-12
OCR-Boston,Number of Days Pending,,,,,,,23,45,66,98
OCR-Chicago,Date of Receipt,,,,,,,,,2009-09-01,2009-08-31
OCR-Chicago,Number of Days Pending,,,,,,,,,20,21
OCR-Dallas,Date of Receipt,,,,,,,,2009-08-12,2009-07-06,2009-01-15
OCR-Dallas,Number of Days Pending,,,,,,,,34,61,179
OCR-Kansas City,Date of Receipt,,,,,,2009-06-30,2009-05-18,2009-03-31,2009-03-23,2009-03-04
OCR-Kansas City,Number of Days Pending,,,,,,64,94,128,134,147
OCR-Metro,Date of Receipt,,,,,2009-11-05,2009-07-06,2009-06-10,2009-05-04,2009-04-24,2008-08-11
OCR-Metro,Number of Days Pending,,,,,47,61,78,104,110,286
OCR-New York,Date of Receipt,2009-01-08,2008-12-24,2008-12-02,2008-10-24,2008-09-25,2008-08-29,2008-08-25,2008-08-13,2008-07-23,2008-06-18
OCR-New York,Number of Days Pending,184,193,209,234,254,272,276,284,299,323
OCR-Philadelphia,Date of Receipt,2009-02-27,2009-02-27,2009-01-30,2009-01-09,2008-12-15,2008-09-19,2008-03-10,2007-10-02,2007-09-05,2007-07-30
OCR-Philadelphia,Number of Days Pending,150,150,169,183,200,258,394,501,520,546
OELA,Date of Receipt,,,2009-08-04,2009-08-03,2009-07-14,2009-07-01,2009-06-04,2009-04-14,2009-01-26,2009-01-15
OELA,Number of Days Pending,,,40,41,55,63,82,118,173,179
OESE,Date of Receipt,2009-08-14,2009-08-14,2009-08-07,2009-08-07,2009-08-06,2009-07-30,2009-07-30,2009-03-24,2009-02-19,2008-11-20
OESE,Number of Days Pending,32,32,37,37,38,43,43,133,156,216
OGC,Date of Receipt,,,,2009-06-05,2009-01-22,2008-12-11,2008-12-09,2008-11-20,2008-09-19,2008-04-30
OGC,Number of Days Pending,,,,81,175,202,204,216,258,357
OIG,Date of Receipt,,,,,,,,,2009-08-18,2009-07-24
OIG,Number of Days Pending,,,,,,,,,30,47
OII,Date of Receipt,,,,,2009-08-31,2009-07-29,2009-06-03,2008-11-03,2007-12-31,2007-12-17
OII,Number of Days Pending,,,,,21,44,83,228,441,450
OLCA,Date of Receipt,,,,,,,,,,2009-07-02
OLCA,Number of Days Pending,,,,,,,,,,313
OM-RIMS,Date of Receipt,2008-06-10,2008-04-25,2008-04-25,2008-04-14,2008-02-25,2008-02-25,2008-01-22,2007-12-07,2007-05-02,2007-05-02
OM-RIMS,Number of Days Pending,329,361,361,369,404,404,427,456,469,607
OPE,Date of Receipt,2009-06-01,2009-05-06,2009-04-27,2009-04-23,2009-04-16,2009-04-14,2009-03-25,2009-03-06,2009-01-28,2008-04-25
OPE,Number of Days Pending,85,102,109,111,116,118,132,145,171,360
OPEPD,Date of Receipt,,,2009-09-01,2009-08-19,2009-07-23,2009-02-26,2008-05-12,2007-02-05,2006-10-25,2006-09-21
OPEPD,Number of Days Pending,,,20,29,48,151,349,668,736,759
OS,Date of Receipt,,2009-08-06,2009-04-30,2009-04-01,2009-03-10,2008-07-02,2008-06-24,2007-08-30,2006-12-15,2005-12-29
OS,Number of Days Pending,,38,106,127,143,313,319,523,701,943
OSDFS,Date of Receipt,2009-01-15,2009-01-14,2009-01-14,2009-01-09,2008-12-30,2008-12-18,2008-12-16,2008-12-09,2008-12-08,2008-12-04
OSDFS,Number of Days Pending,179,180,180,183,190,197,199,204,205,207
OSERS,Date of Receipt,2009-08-10,2009-07-29,2009-07-20,2009-07-15,2009-05-01,2009-04-27,2009-03-27,2008-10-21,2008-09-19,2008-09-16
OSERS,Number of Days Pending,36,44,51,54,105,109,130,237,258,261
OUS,Date of Receipt,,,,,,,,,,2008-05-08
OUS,Number of Days Pending,,,,,,,,,,351
OVAE,Date of Receipt,,,,,,,,,,2009-08-27
OVAE,Number of Days Pending,,,,,,,,,,23
