Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ACF,0,0,0,53,0,0,0,0,0,0,0,0,0,53,
AOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CMS,52,199,199,162,122,50,57,39,30,28,119,50,331,1438,
OIG,94,13,2,0,0,0,0,0,0,0,0,0,0,109,
OPHS,89,55,35,24,21,14,11,9,10,10,27,12,11,328,
AHRQ,3,4,0,0,0,0,0,0,0,0,0,0,0,7,
CDC,458,121,42,38,23,26,26,17,18,11,49,33,6,868,
FDA,106,77,118,65,92,168,151,194,111,223,317,480,5357,7459,
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IHS,0,0,3,0,0,0,0,0,0,0,0,0,14,17,
NIH,583,267,94,63,43,26,22,10,10,14,18,8,6,1164,
SAMHSA,49,31,12,15,0,0,0,0,0,0,0,0,0,107,
OS,477,48,37,22,10,14,4,3,6,5,33,17,644,1320,
Total,1911,815,542,442,311,298,271,272,185,291,563,600,6369,12870,
