OGIS Final Response Letters FY 2016,,,,,,,,
Case Number,Letter Date,Date Added,Agency/ Department ,Component,OGIS Case Category,Exemption,OGIS Case Description,Document URL
201600541,4/25/2016,5/20/2016,Department of Justice,Bureau of Prisons ,Denial,5,Customer requested assistance with denied FOIA request and appeal. OGIS contacted the agency to discuss request. OGIS explained exemption use to requester.,https://ogis.archives.gov/Assets/2016-04-25-final-letter-201600541.pdf?method=1
,,,,,,6,,
,,,,,,7c,,
201600543,4/29/2016,5/20/2016,Department of Homeland Security,Citizenship and Immigration Services ,Denial,7e,Customer contacted OGIS for assistance. OGIS reaching out to agency for additional information.,https://ogis.archives.gov/Assets/2016-04-29-final-letter-201600543.pdf?method=1
201600627,4/29/2016,5/20/2016,Central Intelligence Agency ,,Glomar,1,Customer reached out to OGIS for assistance with information withheld. OGIS reached out to agency and obtained some more information for requester,https://ogis.archives.gov/Assets/2016-04-29-final-letter-201600627.pdf?method=1
,,,,,,3,,
201600592,4/25/2016,5/20/2015,Department of Agriculture,Food Safety and Inspection Service,Denial,4,"Customer requested assistance with several requests. OGIS contacted the agency and discussed the requests. OGIS provided information to the requester regarding, status, exemptions, and the agency's actions.",https://ogis.archives.gov/Assets/2016-04-25-final-letter-201600592.pdf?method=1
,,,,,,6,,
,,,,,No Records,7a,,
201600542,5/2/2016,5/20/2016,Department of Justice,Bureau of Prisons ,Search,,Customer requested assistance with denied FOIA request and appeal. OGIS contacted agency for more information. OGIS explained agency's actions to the requester.,https://ogis.archives.gov/Assets/2016-05-02-final-letter-201600542.pdf?method=1
201600389,3/18/2016,5/13/2016,Department of Justice,Federal Bureau of Investigation,Denial,7a,Customer contacted OGIS for assistance with request for documents which were withheld. OGIS contacting agency regarding request and additional information.,https://ogis.archives.gov/Assets/2016-03-18-final-letter-201600389.pdf?method=1
,,,,,,,,
,,,,,,,,
201600292,3/3/2016,5/13/2016,Department of Justice,Office of the Inspector General,Denial,6,Requester contacted OGIS for assistance. OGIS reached out to agency and obtained more information on search and exemptions claimed and also status of request with ICE.,https://ogis.archives.gov/Assets/2016-03-03-final-letter-201600292.pdf?method=1
,,,,,,,,
