Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIS,42,88,38,80,
Census,286,407,290,401,
EDA,38,40,37,35,
ESA,8,6,8,6,
ITA,48,53,30,21,
MBDA,2,6,3,6,
NIST,207,128,221,128,
NOAA,429,447,441,425,
NTIA,116,60,116,63,
NTIS,8,8,8,8,
OIG,84,115,86,104,
OS,234,231,196,191,
PTO,321,307,319,308,
Total,1823,1896,1793,1776,
