Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred to another DOT component,9,9
OGC,N/A,0,0
OS,Publicly Available Information,12,12
OIG,Unable to locate requester,2,2
OIG,Requester failed to provide written consent of subject individual,1,17
OIG,Requester failed to provide requested clarification,5,17
OIG,Request administratively closed,5,17
OIG,Assigned to other bureau/office for response,1,17
OIG,Requester did not respond to the bureau's communications/unable to locate requester,5,17
OS,Requester failed to provide requested clarification,1,62
OS,Human Error,7,62
OS,Directed requester to another agency or entity,3,62
OS,Requester did not respond to the bureau's communications/unable to locate requester,3,62
OS,Request administratively closed,14,62
OS,Assigned to other bureau/office for response,20,62
OS,Records available online,14,62
OIG,Records referred not related or indexed to requester,2,2
FSA,No response from Requester,3,3
IES,N/A,0,0
OCFO,N/A,0,0
OCFO-CAM,N/A,0,0
OCIO,N/A,0,0
OCO,N/A,0,0
OCR,No response from Requester,1,1
OESE,No response from Requester,3,3
OGC,N/A,0,0
OIG,N/A,0,0
OII,No response from Requester,1,1
OLCA,No response from Requester,1,1
OM,No response from Requester,2,2
OPE,No response from Requester,1,1
OPEPD,N/A,0,0
OS,N/A,0,0
OSERS,No response from Requester,1,1
OUS,N/A,0,0
IES-NAGB,N/A,0,0
OIG,In Litigation,1,21
OIG,Administrative Closure- Based on response/non-response to continued interest correspondence,20,21
OS,Referred to website,1,22
OS,Administrative Closure- Based on response/non-response to continued interest correspondence,18,22
OS,Litigation,3,22
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Not applicable.,0,0
FSA,Requester Referred to Public Website.,4,11
FSA,Records Not Available in Format Requested.,3,11
FSA,Glomar.,1,11
FSA,No response from requester.,2,11
FSA,Requester failed to provide adequate mailing address.,1,11
OCFO,Not applicable.,0,0
OGC,Administratively closed after failure to respond to inquiry from agency.,2,4
OGC,Misdirected requests.,2,4
OIG,N/A,0,0
OIG,N/A,0,0
OCR-1 Boston,N/A,0,0
OCR-2 New York,N/A,0,0
OCR-3 Philadelphia,No response from Requester,2,2
OCR-4 Atlanta,N/A,0,0
OCR-5 Chicago,No response from Requester,3,3
OCR-6 Dallas,N/A,0,0
OCR-7 Kansas City,N/A,0,0
OCR-8 Denver,No response from Requester,1,1
OCR-9 San Francisco,N/A,0,0
OCR-10 Seattle,N/A,0,0
OCR-Metro D.C.,N/A,0,0
OCR-12 Cleveland,N/A,0,0
OGC,N/A,0,0
OIG,In Litigation,1,1
OM-PIRMS,No response from Requester,4,4
M,No response from Requester,7,7
OIG,N/A,0,0
ODS,N/A,0,0
OIG,N/A,0,0
OCTAE,N/A,0,0
OSHS,N/A,0,0
Total,0,193,746
