Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
AF,124,210,186,148,
ARMY,35,105,114,26,
ASBCA,0,0,0,0,
DCAA,0,2,2,0,
DCMA,0,5,2,3,
DeCA,0,1,1,0,
DFAS,0,1,0,1,
DHA,4,17,8,13,
DIA,91,58,68,81,
DISA,4,6,10,0,
DLA,0,8,8,0,
DoD IG,27,19,22,24,
DSS,0,0,0,0,
DTRA,2,1,1,2,
NAVY,21,252,257,16,
NGA,13,7,9,11,
NRO,6,5,6,5,
NSA,67,177,133,111,
OSD/JS,308,185,134,359,
Total,702,1059,961,800,
