Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ACF,36,15,7,20,25,22,16,6,1,4,4,5,10,171,
CMS,3702,380,185,122,96,75,56,42,42,24,129,57,65,4975,
OIG,148,80,40,12,14,3,1,1,1,0,0,0,0,300,
CDC,229,60,34,29,16,22,17,2,14,14,32,29,81,579,
FDA,34,119,153,150,151,117,210,198,215,151,936,353,565,3352,
HRSA,153,63,27,29,12,19,7,2,4,2,21,9,4,352,
IHS,5,6,4,5,16,25,21,5,9,0,0,0,0,96,
NIH,49,48,43,21,15,11,7,5,4,1,2,1,1,208,
SAMHSA,35,21,11,10,11,7,8,6,9,9,24,16,8,175,
OS,1033,91,51,36,26,21,17,12,15,14,30,24,160,1530,
OASH,2,53,33,14,15,12,5,10,4,4,25,21,64,262,
ACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,5426,936,588,448,397,334,365,289,318,223,1203,515,958,12000,
