Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ACF,154,1864,1255,763,
CMS,3383,26361,25027,4717,
OIG,6,843,815,34,
CDC,578,1141,1028,691,
FDA,2863,10224,10191,2896,
HRSA,89,355,352,92,
IHS,28,152,160,20,
NIH,71,1169,1156,84,
SAMHSA,96,193,238,51,
OS,388,1531,1605,314,
OASH,138,437,455,120,
ACL,0,13,11,2,
Total,7794,44283,42293,9784,
