Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
ADJ BDS,0,0,0,1,1,
ALJ,0,0,0,0,0,
ASP,0,0,0,0,0,
BLS,0,0,0,0,0,
CFO,0,0,0,0,0,
EBSA,0,0,3,6,9,
ETA,0,0,9,18,27,
EXEC SEC,0,0,0,0,0,
ILAB,0,0,0,0,0,
MSHA,1,0,4,7,12,
OASAM,1,0,1,5,7,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,0,0,0,1,1,
OIG,0,0,1,1,2,
OLMS,0,1,1,0,2,
OPA,0,0,0,0,0,
OSEC,0,0,0,0,0,
OSHA,2,3,22,21,48,
OWCP,4,0,23,120,147,
SOL,0,1,0,1,2,
VETS,0,1,0,2,3,
WB,0,0,0,0,0,
WHD,1,1,9,5,16,
Total,9,7,73,188,277,
