Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
HQ,107,34,58,180,84,102,1,89,89,
OIG,7,11,12,0,,,0,,,
R01,4,4,14,0,,,0,,,
R02,3,4,9,1,59,59,0,,,
R03,4,17.5,25,0,,,0,,,
R04,15,14,75,6,21,29,0,,,
R05,15,22,96,2,18,18,0,,,
R06,4,15,13,0,,,1,30,30,
R07,0,0,0,1,24,24,0,,,
R08,8,20,23,0,,,0,,,
R09,42,22.5,57,0,,,0,,,
R0X,7,10,10,0,,,0,,,
Total,216,24,54,191,81,98,2,60,59,
