Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BEP,Date of Receipt,,2014-08-28,2014-08-20,2014-08-18,2014-08-12,2014-08-12,2014-08-12,2014-07-17,2014-07-14,2014-07-14
BEP,Number of Days Pending,,24,29,30,35,35,35,53,56,56
DO,Date of Receipt,2010-09-30,2010-07-20,2010-06-29,2009-12-28,2009-07-01,2008-09-18,2008-01-28,2007-03-05,2004-02-23,2003-10-30
DO,Number of Days Pending,1004,1055,1069,1196,1318,1514,1678,1904,2664,2740
FinCEN,Date of Receipt,,,2014-09-29,2014-09-29,2014-09-22,2014-09-22,2014-09-18,2014-09-15,2014-09-05,2014-07-28
FinCEN,Number of Days Pending,,,2,2,7,7,9,12,18,46
IRS,Date of Receipt,2013-04-16,2013-03-04,2013-03-04,2013-03-04,2013-02-04,2012-10-24,2012-08-03,2011-11-29,2011-09-29,2011-06-07
IRS,Number of Days Pending,368,399,399,399,418,486,542,714,754,834
OCC,Date of Receipt,2014-09-08,2014-09-08,2014-09-05,2014-09-04,2014-08-28,2014-08-18,2014-07-30,2014-07-15,2014-04-16,2014-04-08
OCC,Number of Days Pending,17,17,18,19,23,31,44,55,117,123
TIGTA,Date of Receipt,2014-09-12,2014-09-12,2014-09-12,2014-09-12,2014-09-09,2014-09-05,2014-09-03,2014-08-26,2014-07-18,2013-06-26
TIGTA,Number of Days Pending,13,13,13,13,16,18,20,25,52,318
TTB,Date of Receipt,,,,,,,,,,2014-08-24
TTB,Number of Days Pending,,,,,,,,,,26
Fiscal Service,Date of Receipt,,,2014-09-23,2014-09-22,2014-09-18,2014-09-16,2014-08-19,2014-06-26,2013-04-03,2012-10-09
Fiscal Service,Number of Days Pending,,,6,7,9,11,30,67,377,497
