Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2010-07-12,2010-05-04,2010-04-08,2010-03-25,2010-03-17,2010-03-17,2010-03-05,2010-02-17,2009-11-23,2009-10-19
AF,Number of Days Pending,559,606,624,634,640,640,648,660,717,741
AFRICOM,Date of Receipt,2011-12-19,2011-10-19,2011-09-22,2011-09-19,2011-06-16,2011-05-24,2011-04-15,2011-01-13,2011-01-13,2010-12-22
AFRICOM,Number of Days Pending,198,239,257,260,325,341,368,432,432,446
ARMY,Date of Receipt,2009-05-07,2009-03-24,2009-03-05,2009-02-13,2009-01-17,2008-09-25,2008-03-02,2007-10-11,2007-08-14,2007-05-31
ARMY,Number of Days Pending,854,886,899,912,930,1007,1138,1247,1287,1339
CENTCOM,Date of Receipt,2010-09-24,2010-09-23,2010-09-21,2010-09-15,2010-09-02,2010-07-13,2010-07-13,2010-02-05,2009-12-17,2007-02-12
CENTCOM,Number of Days Pending,506,507,509,513,521,558,558,667,700,1415
DCAA,Date of Receipt,,,,,,2012-09-28,2012-09-06,2012-09-06,2012-09-06,2012-08-21
DCAA,Number of Days Pending,,,,,,1,16,16,16,27
DCMA,Date of Receipt,2011-02-11,2011-01-21,2011-01-07,2011-01-03,2010-12-09,2010-11-15,2010-10-26,2010-09-23,2009-11-09,2009-03-23
DCMA,Number of Days Pending,420,427,436,440,455,472,485,507,726,887
DeCA,Date of Receipt,,,,,2012-09-20,2012-09-14,2012-09-10,2012-09-10,2012-09-10,2012-09-10
DeCA,Number of Days Pending,,,,,6,10,14,14,14,14
DFAS,Date of Receipt,,,2012-09-27,2012-09-20,2012-09-17,2012-09-13,2012-09-04,2012-09-04,2012-07-30,2012-02-24
DFAS,Number of Days Pending,,,1,6,9,11,18,18,43,152
DIA,Date of Receipt,2000-11-28,2000-11-09,2000-11-07,2000-10-14,2000-09-07,2000-09-07,2000-08-16,2000-08-01,2000-03-23,2000-03-14
DIA,Number of Days Pending,2967,2978,2980,3003,3022,3022,3037,3048,3139,3146
DISA,Date of Receipt,2012-04-04,2012-03-06,2012-02-21,2012-01-05,2011-10-13,2011-09-12,2011-06-14,2011-03-31,2011-03-30,2008-04-22
DISA,Number of Days Pending,124,145,155,186,243,265,327,379,380,1116
DLA,Date of Receipt,2012-05-07,2012-04-25,2012-04-24,2012-04-24,2012-04-06,2012-03-07,2012-01-25,2012-01-09,2011-12-07,2011-03-02
DLA,Number of Days Pending,101,109,110,110,122,144,173,184,206,400
DoD IG,Date of Receipt,2009-04-02,2009-02-03,2009-01-30,2009-01-29,2008-07-14,2007-10-16,2007-04-24,2006-03-08,2005-08-11,2005-01-10
DoD IG,Number of Days Pending,879,920,922,923,1059,1244,1365,1648,1789,1938
DoDEA,Date of Receipt,,,,,,2012-09-28,2012-09-21,2012-09-19,2012-06-19,2012-05-10
DoDEA,Number of Days Pending,,,,,,1,5,7,71,98
DSS,Date of Receipt,,,2012-08-23,2012-08-20,2012-08-10,2012-06-18,2012-05-14,2012-05-14,2012-05-14,2012-05-14
DSS,Number of Days Pending,,,25,28,34,72,96,96,96,96
DTIC,Date of Receipt,,,,,,,,2012-09-26,2012-09-21,2012-09-12
DTIC,Number of Days Pending,,,,,,,,2,5,12
DTRA,Date of Receipt,2012-04-13,2012-02-15,2012-02-15,2012-02-15,2011-09-28,2011-06-03,2011-06-03,2011-02-28,2011-02-28,2011-02-28
DTRA,Number of Days Pending,117,158,158,158,253,334,334,402,402,402
