Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AMS,Date of Receipt,2012-08-23,2012-08-03,2012-07-10,2012-06-18,2012-06-07,2012-06-04,2012-05-29,2012-05-22,2012-05-02,2012-01-24
AMS,Number of Days Pending,274,288,306,321,328,331,335,339,353,423
APHIS,Date of Receipt,2011-05-13,2011-04-21,2011-04-18,2011-03-29,2011-03-09,2011-03-03,2011-02-09,2011-02-07,2010-10-01,2010-04-09
APHIS,Number of Days Pending,596,612,615,629,643,647,662,664,749,871
ASCR,Date of Receipt,,,,,,,,,,2013-09-16
ASCR,Number of Days Pending,,,,,,,,,,9
FAS,Date of Receipt,,,,,,,,,,2013-06-05
FAS,Number of Days Pending,,,,,,,,,,73
FNCS,Date of Receipt,2013-09-05,2013-09-05,2013-09-04,2013-08-29,2013-08-27,2013-08-22,2013-08-20,2013-07-31,2013-07-24,2013-07-15
FNCS,Number of Days Pending,17,17,18,21,23,26,28,42,47,54
FS,Date of Receipt,2011-03-02,2011-02-25,2011-02-11,2011-01-25,2011-01-25,2011-01-20,2010-12-15,2010-11-09,2010-06-14,2010-01-19
FS,Number of Days Pending,648,651,660,673,673,676,699,723,826,928
FSA,Date of Receipt,2013-04-30,2013-04-17,2013-03-25,2013-03-18,2013-03-12,2013-02-13,2013-01-17,2012-12-19,2012-10-01,2011-11-16
FSA,Number of Days Pending,106,115,132,137,141,160,176,194,251,468
FSIS,Date of Receipt,2010-07-14,2010-03-31,2010-03-05,2010-02-17,2009-12-02,2009-11-16,2009-11-12,2009-10-29,2009-10-23,2009-10-20
FSIS,Number of Days Pending,805,878,896,908,959,970,972,981,985,988
GIPSA,Date of Receipt,,,,,,,,,2013-09-19,2013-09-16
GIPSA,Number of Days Pending,,,,,,,,,7,10
NAD,Date of Receipt,,,,,,,,,2013-09-19,2013-09-10
NAD,Number of Days Pending,,,,,,,,,7,14
NRCS,Date of Receipt,2012-09-27,2012-09-25,2012-09-24,2012-09-04,2012-08-23,2012-06-22,2012-06-04,2012-03-15,2012-01-31,2011-12-05
NRCS,Number of Days Pending,250,252,253,267,274,317,331,387,418,456
OBPA,Date of Receipt,,,,,,,,2013-09-24,2013-09-18,2013-09-10
OBPA,Number of Days Pending,,,,,,,,4,8,14
OCFO,Date of Receipt,,,2013-09-23,2013-09-03,2013-09-03,2013-06-09,2013-04-30,2012-11-19,2012-05-30,2012-05-03
OCFO,Number of Days Pending,,,5,19,19,71,106,215,334,352
OGC,Date of Receipt,2013-02-27,2013-01-16,2013-01-15,2012-08-29,2012-04-19,2012-03-01,2011-12-22,2011-12-02,2011-03-29,2008-03-05
OGC,Number of Days Pending,150,178,179,273,365,400,446,460,632,1440
OIG,Date of Receipt,2012-08-21,2012-08-21,2012-08-10,2012-07-17,2012-06-19,2012-06-12,2012-05-09,2012-04-19,2012-04-05,2012-01-11
OIG,Number of Days Pending,278,278,285,303,322,327,350,364,374,433
OSEC/OCIO/DM,Date of Receipt,2012-02-24,2012-02-10,2012-01-05,2011-12-12,2011-09-22,2011-08-08,2011-08-05,2011-06-22,2010-08-04,2010-03-12
OSEC/OCIO/DM,Number of Days Pending,401,410,435,451,505,537,538,569,790,891
RD,Date of Receipt,2011-10-05,2011-10-04,2011-08-26,2011-08-15,2011-04-25,2011-02-07,2010-12-21,2010-11-30,2010-05-12,2010-05-11
RD,Number of Days Pending,496,497,523,532,610,664,695,710,848,849
REE,Date of Receipt,,,,,,,2013-09-26,2013-09-25,2013-09-12,2013-09-04
REE,Number of Days Pending,,,,,,,2,3,12,18
RMA,Date of Receipt,,,,,2013-07-05,2013-05-21,2013-05-17,2013-01-15,2012-07-31,2012-01-31
RMA,Number of Days Pending,,,,,60,91,93,178,291,418
