Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BIS,Date of Receipt,,,,,,,,,,2012-08-13
BIS,Number of Days Pending,,,,,,,,,,34
Census,Date of Receipt,2012-09-14,2012-09-14,2012-09-14,2012-09-12,2012-09-11,2012-09-06,2012-09-04,2012-08-07,2012-07-20,2012-07-17
Census,Number of Days Pending,10,10,10,12,13,16,18,37,49,55
ITA,Date of Receipt,2011-07-14,2011-07-13,2011-06-14,2011-06-08,2011-05-26,2011-05-26,2011-05-25,2011-04-05,2011-01-04,2010-12-29
ITA,Number of Days Pending,307,308,328,332,340,340,341,377,440,443
MBDA,Date of Receipt,,,,,,,,,,2012-06-26
MBDA,Number of Days Pending,,,,,,,,,,59
NIST,Date of Receipt,2012-02-01,2011-12-28,2011-10-31,2011-10-20,2010-05-11,2009-09-22,2009-04-27,2009-03-04,2008-11-24,2007-08-24
NIST,Number of Days Pending,163,194,231,238,601,752,855,893,959,1333
NOAA,Date of Receipt,2010-10-06,2010-09-01,2010-09-01,2010-07-23,2010-07-16,2010-07-08,2010-06-21,2010-06-08,2010-05-26,2010-05-20
NOAA,Number of Days Pending,500,523,523,550,555,561,572,581,589,593
NTIA,Date of Receipt,2012-09-10,2012-08-24,2012-08-02,2012-05-24,2011-10-17,2011-08-11,2011-07-28,2011-06-03,2011-02-07,2010-11-02
NTIA,Number of Days Pending,15,28,33,36,241,266,271,315,378,479
NTIS,Date of Receipt,,,,,,,,,,2012-05-16
NTIS,Number of Days Pending,,,,,,,,,,137
OIG,Date of Receipt,,,,,,,,,,2012-07-30
OIG,Number of Days Pending,,,,,,,,,,19
OS,Date of Receipt,2012-06-08,2012-05-01,2012-04-24,2012-03-30,2012-03-26,2012-03-01,2012-01-04,2011-12-20,2011-11-08,2011-10-24
OS,Number of Days Pending,79,105,110,127,131,148,187,197,225,236
PTO,Date of Receipt,2012-09-13,2012-09-13,2012-09-10,2012-09-10,2012-09-06,2012-09-06,2012-09-06,2012-09-05,2012-09-05,2012-08-24
PTO,Number of Days Pending,11,11,14,14,16,16,16,17,17,24
