Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,2012-11-08,2012-11-08,2012-11-08,2012-11-08,2012-11-07,2012-11-07,2012-11-07,2012-11-06,2012-10-23,2012-10-09
CBP,Number of Days Pending,482,482,482,482,483,483,483,484,494,504
CRCL,Date of Receipt,,2014-09-29,2014-09-24,2014-09-24,2014-09-03,2014-08-25,2014-08-25,2014-07-30,2014-05-19,2014-03-24
CRCL,Number of Days Pending,,1,4,4,19,26,26,44,96,136
FEMA,Date of Receipt,2012-03-09,2012-03-05,2012-03-05,2012-02-27,2012-02-08,2012-02-06,2011-11-28,2011-01-03,2010-09-10,2007-09-07
FEMA,Number of Days Pending,644,648,648,653,665,667,715,944,1020,1761
FLETC,Date of Receipt,,,,2014-09-29,2014-09-24,2014-09-11,2014-09-11,2014-09-11,2014-09-09,2014-08-22
FLETC,Number of Days Pending,,,,1,4,13,13,13,15,27
I&A,Date of Receipt,2014-05-15,2014-04-29,2014-04-10,2014-01-20,2013-10-22,2013-10-18,2013-09-27,2013-08-01,2013-07-22,2013-02-12
I&A,Number of Days Pending,100,111,124,182,244,246,260,300,308,420
ICE,Date of Receipt,2013-06-24,2013-06-24,2013-05-21,2013-04-30,2013-04-17,2013-04-10,2012-11-15,2012-11-15,2012-11-04,2012-10-10
ICE,Number of Days Pending,327,327,350,365,374,379,478,478,485,503
NPPD,Date of Receipt,2014-01-15,2014-01-15,2014-01-15,2014-01-15,2014-01-15,2014-01-15,2014-01-07,2014-01-06,2014-01-06,2014-01-06
NPPD,Number of Days Pending,185,185,185,185,185,185,191,192,192,192
OIG,Date of Receipt,2013-08-30,2013-08-06,2013-08-06,2013-06-17,2013-06-13,2013-05-20,2013-03-13,2013-03-01,2013-02-28,2013-02-01
OIG,Number of Days Pending,280,297,297,332,334,351,399,407,408,426
PRIV,Date of Receipt,2013-11-13,2013-10-24,2013-10-21,2013-10-17,2013-10-17,2013-09-25,2013-09-03,2013-08-26,2013-08-26,2013-07-08
PRIV,Number of Days Pending,220,233,236,238,238,242,258,263,263,298
S&T,Date of Receipt,,,,,,,,,,2014-07-18
S&T,Number of Days Pending,,,,,,,,,,52
TSA,Date of Receipt,2010-08-26,2010-06-24,2010-06-14,2010-04-10,2010-03-30,2010-03-22,2010-02-25,2010-01-29,2010-01-05,2009-11-23
TSA,Number of Days Pending,1030,1074,1082,1133,1135,1141,1158,1172,1189,1217
USCG,Date of Receipt,2010-06-11,2010-05-26,2010-05-17,2010-05-07,2010-04-27,2010-04-05,2010-03-30,2010-02-24,2010-02-22,2009-11-25
USCG,Number of Days Pending,1091,1102,1109,1115,1123,1139,1143,1167,1169,1223
USCIS,Date of Receipt,2014-01-31,2014-01-29,2014-01-24,2014-01-24,2014-01-23,2014-01-22,2014-01-21,2014-01-06,2013-12-04,2013-11-21
USCIS,Number of Days Pending,173,175,178,178,179,180,181,184,215,223
USSS,Date of Receipt,2009-06-15,2009-01-30,2009-01-14,2008-10-08,2008-02-05,2008-01-29,2007-11-26,2007-10-18,2007-01-09,2006-12-01
USSS,Number of Days Pending,1336,1430,1440,1505,1677,1682,1725,1750,1946,1970
