Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,2011-10-06,2011-10-06,2011-05-27,2011-05-26,2011-05-26,2011-05-26,2011-05-26,2011-05-25,2011-05-25,2011-05-25
CBP,Number of Days Pending,248,248,341,342,342,342,342,343,343,343
CRCL,Date of Receipt,,,,,,,,2012-09-26,2012-09-18,2012-09-13
CRCL,Number of Days Pending,,,,,,,,3,9,12
FEMA,Date of Receipt,2010-02-03,2010-01-26,2010-01-20,2010-01-08,2009-11-27,2009-11-12,2009-10-21,2009-10-05,2009-03-06,2007-09-07
FEMA,Number of Days Pending,668,674,678,685,713,723,738,749,897,1269
FLETC,Date of Receipt,2012-09-25,2012-09-21,2012-09-17,2012-09-12,2012-09-11,2012-09-06,2012-09-06,2012-09-06,2012-08-15,2012-07-26
FLETC,Number of Days Pending,4,6,10,13,14,17,17,17,32,46
I&A,Date of Receipt,,,,,,,2012-09-13,2012-08-07,2012-07-24,2012-04-24
I&A,Number of Days Pending,,,,,,,12,38,48,111
ICE,Date of Receipt,2011-11-30,2011-11-29,2011-11-28,2011-11-28,2011-11-28,2011-10-06,2011-10-05,2011-10-05,2011-07-25,2010-11-22
ICE,Number of Days Pending,212,213,214,214,214,248,249,249,301,470
MGMT,Date of Receipt,2012-08-06,2012-07-25,2012-07-23,2012-07-16,2012-07-07,2012-06-01,2012-05-31,2012-05-07,2012-04-27,2012-04-12
MGMT,Number of Days Pending,39,47,49,54,59,78,85,102,108,119
NPPD,Date of Receipt,2012-07-09,2012-06-27,2012-05-23,2012-05-22,2012-05-21,2012-05-07,2012-05-07,2012-05-07,2012-04-25,2012-04-12
NPPD,Number of Days Pending,59,66,90,91,92,102,102,102,110,119
OGC,Date of Receipt,,,,2012-09-25,2012-09-05,2012-05-09,2011-11-30,2011-11-30,2011-11-30,2011-11-30
OGC,Number of Days Pending,,,,4,18,100,212,212,212,212
OIG,Date of Receipt,2012-07-16,2012-05-21,2012-04-24,2012-04-24,2012-04-23,2012-04-16,2012-04-05,2012-03-23,2012-02-07,2011-12-08
OIG,Number of Days Pending,54,92,111,111,112,117,124,133,165,206
PRIV,Date of Receipt,2012-08-22,2012-08-21,2012-08-21,2012-08-21,2012-08-21,2012-08-07,2012-05-18,2012-04-25,2012-03-16,2011-12-13
PRIV,Number of Days Pending,27,28,28,28,28,38,93,110,138,203
TSA,Date of Receipt,2009-10-26,2009-09-01,2009-07-06,2009-06-10,2009-01-02,2008-12-18,2008-10-29,2008-06-19,2004-11-01,2004-10-27
TSA,Number of Days Pending,735,772,813,830,939,948,982,1073,1986,1989
USCG,Date of Receipt,2009-12-08,2009-12-01,2009-11-30,2009-11-25,2009-11-23,2009-10-01,2009-09-25,2009-07-22,2009-07-21,2009-01-12
USCG,Number of Days Pending,706,711,712,714,716,751,755,801,802,933
USCIS,Date of Receipt,2011-07-07,2011-07-05,2011-06-29,2011-06-17,2011-05-10,2011-05-02,2011-03-09,2011-03-07,2011-03-07,2011-03-03
USCIS,Number of Days Pending,313,315,319,327,354,360,398,400,400,402
USSS,Date of Receipt,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17,2006-10-17
USSS,Number of Days Pending,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493
