Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
AF,Date of Receipt,2007-11-21,2007-11-05,2007-09-19,2007-07-31,2007-06-28,2006-11-21,2006-10-18,2006-06-19,2004-10-06,2000-01-04
AF,Number of Days Pending,967,978,1010,1045,1067,1217,1240,1324,1749,2942
AFRICOM,Date of Receipt,2011-06-16,2011-05-24,2011-04-15,2011-03-07,2011-01-13,2010-12-22,2010-11-03,2010-09-15,2010-08-09,2009-08-18
AFRICOM,Number of Days Pending,74,90,117,146,181,195,228,262,288,532
ARMY,Date of Receipt,2007-09-25,2007-09-19,2007-09-19,2007-08-14,2007-06-27,2007-05-31,2007-03-26,2006-09-11,2006-06-12,2005-10-21
ARMY,Number of Days Pending,1006,1010,1010,1035,1068,1087,1134,1266,1329,1488
CENTCOM,Date of Receipt,2007-08-27,2007-07-06,2007-05-30,2007-02-12,2006-08-17,2006-06-26,2006-06-26,2006-06-26,2006-06-09,2005-12-20
CENTCOM,Number of Days Pending,1026,1062,1088,1163,1282,1319,1319,1319,1330,1448
DCAA,Date of Receipt,,,,,,,,,2011-09-28,2011-09-13
DCAA,Number of Days Pending,,,,,,,,,2,19
DCMA,Date of Receipt,2010-07-15,2010-07-06,2010-04-22,2010-03-09,2010-02-24,2009-11-09,2009-08-20,2009-04-22,2009-03-23,2008-04-30
DCMA,Number of Days Pending,305,312,363,395,404,475,530,614,636,858
DeCA,Date of Receipt,2011-09-26,2011-09-26,2011-09-26,2011-09-26,2011-09-21,2011-08-31,2011-08-26,2011-08-26,2011-08-17,2011-05-23
DeCA,Number of Days Pending,4,4,4,4,7,21,24,24,31,91
DFAS,Date of Receipt,,2011-09-23,2011-09-22,2011-09-09,2011-09-06,2011-08-15,2011-08-09,2011-08-08,2011-08-05,2011-07-25
DFAS,Number of Days Pending,,5,6,15,18,33,37,38,39,48
DIA,Date of Receipt,2000-02-14,2000-02-04,1999-11-18,1999-09-23,1999-08-23,1999-07-27,1999-04-21,1999-03-25,1999-02-11,1997-12-08
DIA,Number of Days Pending,2914,2920,2972,3010,3032,3051,3118,3137,3166,3460
DISA,Date of Receipt,2011-06-28,2011-06-14,2011-04-05,2011-03-31,2011-03-30,2011-01-13,2011-01-11,2010-10-15,2009-06-17,2008-04-22
DISA,Number of Days Pending,66,76,125,128,129,181,183,241,575,864
DLA,Date of Receipt,2011-07-25,2011-07-18,2011-06-29,2011-06-29,2011-06-21,2011-06-20,2011-06-09,2011-05-16,2011-04-13,2010-12-28
DLA,Number of Days Pending,48,53,65,65,71,72,79,96,119,192
DoD IG,Date of Receipt,2009-01-29,2008-09-22,2008-07-14,2008-06-02,2007-10-16,2007-04-24,2006-03-08,2006-03-08,2005-08-11,2005-01-10
DoD IG,Number of Days Pending,672,758,807,836,992,1113,1396,1396,1537,1686
DoDEA,Date of Receipt,,,,,,2011-09-26,2011-09-22,2011-09-16,2011-09-14,2011-08-16
DoDEA,Number of Days Pending,,,,,,0,4,6,12,32
DSS,Date of Receipt,,,,,,,,,,2011-05-24
DSS,Number of Days Pending,,,,,,,,,,90
DTIC,Date of Receipt,,,,,,2011-09-28,2011-09-20,2011-09-19,2011-07-28,2011-07-19
DTIC,Number of Days Pending,,,,,,2,8,9,45,52
DTRA,Date of Receipt,,,,2011-09-23,2011-08-09,2011-08-08,2011-06-06,2011-04-11,2011-04-06,2011-04-01
DTRA,Number of Days Pending,,,,5,37,68,82,121,124,127
EUCOM,Date of Receipt,2009-06-18,2009-06-12,2009-06-12,2008-12-16,2008-12-16,2008-07-31,2008-05-28,2007-01-12,2006-08-05,2006-06-13
EUCOM,Number of Days Pending,574,574,578,700,700,794,839,1183,1290,1328
NAVY,Date of Receipt,2008-08-04,2008-06-13,2008-06-12,2007-10-25,2007-08-21,2006-04-16,2004-09-25,2004-08-03,2004-05-26,2003-12-30
NAVY,Number of Days Pending,792,827,828,985,1030,1368,1756,1794,1840,1943
NGA,Date of Receipt,2009-09-22,2009-09-18,2009-08-27,2009-08-12,2009-08-12,2009-06-26,2009-04-20,2008-06-23,2008-06-20,2008-05-23
NGA,Number of Days Pending,508,510,525,536,536,568,616,821,822,841
NGB,Date of Receipt,2011-07-26,2011-07-14,2011-06-08,2011-05-12,2011-04-13,2011-04-04,2011-03-15,2011-02-14,2011-01-19,2011-01-10
NGB,Number of Days Pending,47,55,80,98,119,126,140,160,178,184
NORTHCOM,Date of Receipt,,2011-09-21,2011-02-22,2010-08-30,2010-06-06,2010-03-05,2009-09-21,2009-09-21,2009-08-21,2009-05-04
NORTHCOM,Number of Days Pending,,7,155,273,332,397,509,509,529,606
NRO,Date of Receipt,2009-08-05,2009-07-02,2009-06-24,2009-06-03,2009-06-02,2009-05-13,2009-01-13,2008-12-01,2007-08-24,2007-06-11
NRO,Number of Days Pending,541,564,570,585,586,599,683,711,1027,1080
NSA,Date of Receipt,2000-08-28,1999-09-09,1999-04-01,1998-07-20,1998-05-14,1998-02-09,1996-11-15,1996-05-16,1996-05-02,1995-07-13
NSA,Number of Days Pending,2777,3020,3132,3307,3352,3419,3725,3851,3861,4063
OSD/JS,Date of Receipt,2000-02-16,1999-12-23,1999-12-21,1999-02-22,1998-05-06,1998-02-18,1998-02-10,1996-05-06,1996-03-11,1995-08-16
OSD/JS,Number of Days Pending,2912,2948,2950,3160,3358,3413,3418,3859,3899,4039
PACOM,Date of Receipt,2007-04-26,2007-04-26,2007-04-26,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-10-24,2006-08-02,2006-03-09
PACOM,Number of Days Pending,1111,1111,1111,1236,1236,1236,1236,1236,1293,1395
SOCOM,Date of Receipt,2006-07-18,2006-01-13,2005-08-30,2005-03-08,2004-10-22,2004-05-13,2003-06-17,2003-03-31,2003-03-10,1996-05-09
SOCOM,Number of Days Pending,1304,1432,1524,1647,1738,1849,2076,2131,2146,3856
SOUTHCOM,Date of Receipt,2009-10-27,2009-10-27,2009-10-23,2009-06-03,2008-11-20,2008-05-22,2008-05-12,2008-01-12,2007-08-01,2007-01-14
SOUTHCOM,Number of Days Pending,484,484,486,585,717,842,850,933,1044,1182
TRANSCOM,Date of Receipt,2011-04-18,2010-11-09,2010-11-03,2010-09-21,2010-07-16,2010-07-09,2010-05-11,2008-12-09,2008-11-13,2008-10-31
TRANSCOM,Number of Days Pending,116,224,228,258,304,309,350,705,722,730
TRICARE,Date of Receipt,2011-09-30,2011-09-26,2011-09-26,2011-09-19,2011-09-16,2011-09-09,2011-08-22,2011-04-05,2011-03-18,2010-12-03
TRICARE,Number of Days Pending,0,4,4,9,10,15,28,125,137,208
