Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
ADJ BDS,0,1,1,0,
ALJ,0,1,1,0,
ASP,0,0,0,0,
BLS,1,2,2,1,
CFO,0,0,0,0,
EBSA,4,11,4,11,
ETA,14,44,40,18,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,13,9,8,14,
OASAM,9,11,7,13,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,3,10,6,7,
OIG,2,2,2,2,
OLMS,7,6,9,4,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,39,118,103,54,
OWCP,36,210,179,67,
SOL,1,3,0,4,
VETS,3,12,9,6,
WB,0,0,0,0,
WHD,13,24,22,15,
Total,145,464,393,216,
