Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OLA,Referred Documents Not Responsive,4,9
OLA,Directed requester to another agency or entity,5,9
OIG,Transferred outside of DOT,1,13
OIG,Transferred to another DOT component,12,13
OIG,FOIA Misdirected,1,1
CBP,Sent in error,7,49
CBP,Unable to locate requestor,10,49
CBP,Records Publicly Available,17,49
CBP,Coordinated by another processing office,15,49
CRCL,N/A,0,0
FEMA,Unable to locate requestor,4,12
FEMA,Records Publicly Available,6,12
FEMA,Coordinated by another processing office,2,12
FLETC,N/A,0,0
I&A,N/A,0,0
ICE,Unable to locate requestor,83,781
ICE,Fugitive Dissentitlement,532,781
ICE,Referred Documents are Non Responsive,160,781
ICE,Records Publicly Available,1,781
ICE,Litigation,4,781
ICE,Aggregated,1,781
NPPD,Duplicate,31,31
OIG,Records Publicly Available,2,2
OPS,N/A,0,0
PRIV,Coordinated by another processing office,7,53
PRIV,Unable to locate requestor,10,53
PRIV,Aggregated,3,53
PRIV,Litigation,2,53
PRIV,Records Publicly Available,31,53
S&T,N/A,0,0
TSA,Unable to locate requestor,12,22
TSA,Records Publicly Available,6,22
TSA,"Aggregated,",4,22
USCG,N/A,0,0
USCIS,Unable to locate requestor,3,3
USSS,Coordinated by another processing office,1,257
USSS,Referred Documents are Non Responsive,27,257
USSS,Records Publicly Available,2,257
USSS,Unable to locate requestor,22,257
USSS,Statute of Limitation Has Passed,26,257
USSS,Opened in Error,6,257
USSS,Nonresponsive to Requests for Additional Information,173,257
OIG,Assigned to other bureau/office for response,1,7
OIG,Request administratively closed,6,7
OPA,N/A,0,0
CFO,N/A,0,0
OIG,N/A,0,0
OIG,Records on website,4,24
OIG,Administratively Closed - Based on response/non-response due to continued interest calls and correspondence,20,24
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OGC,Appealed prior to agency response.,1,1
OIG,N/A,0,0
OGC,FOIA Request not required.,1,1
OIG,N/A,0,0
OLA,N/A,0,0
OIG,N/A,0,0
Total,0,1266,7193
