Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
Admin,0,0.1,0.1,
BVA,0,0.4,0.4,
C&LA,0,0.1,0.1,
CFM,1,1,2,
GC,3,0.6,3.6,
HRM,0,0.5,0.5,
IG,0,2.37,2.37,
Mgmt,0,0.1,0.1,
NCA,1,0,1,
OAL,3,1.1,4.1,
OASHRA,0,0.1,0.1,
OASP&IA,0,0.1,0.1,
ODASB,0,0.1,0.1,
ODASIA,0,0.1,0.1,
ODI,0,0.1,0.1,
OF,0,0.1,0.1,
OIT,4,0,4,
ORM,0,0.2,0.2,
OSDBU,0,0.6,0.6,
OSP,0,0.25,0.25,
P&P,0,0.1,0.1,
PA,0,0.1,0.1,
SEC,1,1,2,
VBA,5,32.45,37.45,
VHA,5,110.08,115.08,
Total,23,152,175,
